6021BW,9,,Jan van Brabantstraat,Budel
6026RV,28,,Kerkstraat,Maarheeze
6026RV,30,,Kerkstraat,Maarheeze
6026RV,48,,Kerkstraat,Maarheeze
6021CH,1,,Kerkstraat,Budel
6021CH,2,,Kerkstraat,Budel
6021CH,3,,Kerkstraat,Budel
6021CH,4,,Kerkstraat,Budel
6021CH,5,,Kerkstraat,Budel
6021CH,6,,Kerkstraat,Budel
6021CH,7,,Kerkstraat,Budel
6021CH,8,,Kerkstraat,Budel
6021CH,9,,Kerkstraat,Budel
6021CH,10,,Kerkstraat,Budel
6021CH,11,,Kerkstraat,Budel
6021CH,13,,Kerkstraat,Budel
6021CH,15,,Kerkstraat,Budel
6021CH,17,,Kerkstraat,Budel
6021CH,19,,Kerkstraat,Budel
6021CH,21,,Kerkstraat,Budel
6021CH,23,,Kerkstraat,Budel
6021CH,25,,Kerkstraat,Budel
6021CH,27,,Kerkstraat,Budel
6021CX,4,,Keunenhoek,Budel
6021CX,6,,Keunenhoek,Budel
6021CX,8,,Keunenhoek,Budel
6021CW,11,,Keunenhoek,Budel
6021CX,12,,Keunenhoek,Budel
6021CX,14,,Keunenhoek,Budel
6021CX,16,,Keunenhoek,Budel
6021CW,17,,Keunenhoek,Budel
6021CW,19,,Keunenhoek,Budel
6021CW,21,,Keunenhoek,Budel
6021CW,23,,Keunenhoek,Budel
6021CX,24,,Keunenhoek,Budel
6021CW,25,,Keunenhoek,Budel
6021CX,26,,Keunenhoek,Budel
6021CW,27,,Keunenhoek,Budel
6021CX,28,,Keunenhoek,Budel
6021CW,29,,Keunenhoek,Budel
6021CW,31,,Keunenhoek,Budel
6021CX,32,,Keunenhoek,Budel
6021CW,33,,Keunenhoek,Budel
6021CX,34,,Keunenhoek,Budel
6021CX,34,ii,Keunenhoek,Budel
6021CX,36,,Keunenhoek,Budel
6021CX,38,,Keunenhoek,Budel
6021CX,40,,Keunenhoek,Budel
6026ER,1,,Kijkakkers,Maarheeze
6026ER,2,,Kijkakkers,Maarheeze
6026ER,3,,Kijkakkers,Maarheeze
6026ER,4,,Kijkakkers,Maarheeze
6026ER,5,,Kijkakkers,Maarheeze
6026ER,6,,Kijkakkers,Maarheeze
6026ER,7,,Kijkakkers,Maarheeze
6026ER,8,,Kijkakkers,Maarheeze
6026ER,9,,Kijkakkers,Maarheeze
6026ER,10,,Kijkakkers,Maarheeze
6026ER,11,,Kijkakkers,Maarheeze
6026ER,12,,Kijkakkers,Maarheeze
6026ER,13,,Kijkakkers,Maarheeze
6026ER,14,,Kijkakkers,Maarheeze
6026ER,15,,Kijkakkers,Maarheeze
6026ER,16,,Kijkakkers,Maarheeze
6026ER,17,,Kijkakkers,Maarheeze
6026ER,18,,Kijkakkers,Maarheeze
6026ER,19,,Kijkakkers,Maarheeze
6026ER,20,,Kijkakkers,Maarheeze
6026ER,21,,Kijkakkers,Maarheeze
6026ER,23,,Kijkakkers,Maarheeze
6026ER,24,,Kijkakkers,Maarheeze
6026ER,25,,Kijkakkers,Maarheeze
6026ER,26,,Kijkakkers,Maarheeze
6026ER,27,,Kijkakkers,Maarheeze
6026ER,28,,Kijkakkers,Maarheeze
6026ER,29,,Kijkakkers,Maarheeze
6026ER,30,,Kijkakkers,Maarheeze
6026ER,31,,Kijkakkers,Maarheeze
6026ER,32,,Kijkakkers,Maarheeze
6026ER,33,,Kijkakkers,Maarheeze
6026ER,35,,Kijkakkers,Maarheeze
6026ER,36,,Kijkakkers,Maarheeze
6026ER,37,,Kijkakkers,Maarheeze
6026ER,38,,Kijkakkers,Maarheeze
6026ER,40,,Kijkakkers,Maarheeze
6026ER,42,,Kijkakkers,Maarheeze
6026ER,44,,Kijkakkers,Maarheeze
6026ER,46,,Kijkakkers,Maarheeze
6026ER,48,,Kijkakkers,Maarheeze
6026ER,50,,Kijkakkers,Maarheeze
6026ER,52,,Kijkakkers,Maarheeze
6026ER,54,,Kijkakkers,Maarheeze
6026ER,56,,Kijkakkers,Maarheeze
6026ER,58,,Kijkakkers,Maarheeze
6026ER,60,,Kijkakkers,Maarheeze
6026ER,62,,Kijkakkers,Maarheeze
6026ER,64,,Kijkakkers,Maarheeze
6026ER,66,,Kijkakkers,Maarheeze
6026ER,68,,Kijkakkers,Maarheeze
6026ER,70,,Kijkakkers,Maarheeze
6026ER,72,,Kijkakkers,Maarheeze
6026ER,74,,Kijkakkers,Maarheeze
6026ER,76,,Kijkakkers,Maarheeze
6026ER,78,,Kijkakkers,Maarheeze
6026ER,80,,Kijkakkers,Maarheeze
6026PW,1,,Klaterspeelweg,Maarheeze
6026PW,3,,Klaterspeelweg,Maarheeze
6023RG,2,,Klein Schoterstraat,Budel-Schoot
6023RG,7,,Klein Schoterstraat,Budel-Schoot
6023RB,8,,Klein-Schoot,Budel-Schoot
6023RB,9,,Klein-Schoot,Budel-Schoot
6023RB,11,,Klein-Schoot,Budel-Schoot
6023RB,18,,Klein-Schoot,Budel-Schoot
6023RB,12,,Klein-Schoot,Budel-Schoot
6023RB,13,,Klein-Schoot,Budel-Schoot
6023RB,14,,Klein-Schoot,Budel-Schoot
6023RB,15,,Klein-Schoot,Budel-Schoot
6023RB,17,,Klein-Schoot,Budel-Schoot
6023RB,19,,Klein-Schoot,Budel-Schoot
6023RB,21,,Klein-Schoot,Budel-Schoot
6023RB,24,,Klein-Schoot,Budel-Schoot
6023RB,23,,Klein-Schoot,Budel-Schoot
6023RB,31,,Klein-Schoot,Budel-Schoot
6023RB,33,,Klein-Schoot,Budel-Schoot
6023RB,39,,Klein-Schoot,Budel-Schoot
6023RB,38,,Klein-Schoot,Budel-Schoot
6021MN,1,,Kloosterdreef,Budel
6021MN,3,,Kloosterdreef,Budel
6021MN,5,,Kloosterdreef,Budel
6021MN,7,,Kloosterdreef,Budel
6021MN,9,,Kloosterdreef,Budel
6021MN,11,,Kloosterdreef,Budel
6021MN,13,,Kloosterdreef,Budel
6021MN,15,,Kloosterdreef,Budel
6028RA,1,,Kluisweg,Gastel
6028RA,2,,Kluisweg,Gastel
6028RA,3,,Kluisweg,Gastel
6028RA,4,,Kluisweg,Gastel
6028RA,5,,Kluisweg,Gastel
6028RA,6,,Kluisweg,Gastel
6028RA,7,,Kluisweg,Gastel
6028RA,9,,Kluisweg,Gastel
6028RA,11,,Kluisweg,Gastel
6028RA,13,,Kluisweg,Gastel
6028RA,15,,Kluisweg,Gastel
6028RA,17,,Kluisweg,Gastel
6027PT,1,,Kluttershoek,Soerendonk
6027PT,2,,Kluttershoek,Soerendonk
6027PT,3,,Kluttershoek,Soerendonk
6027PT,4,,Kluttershoek,Soerendonk
6027PT,5,,Kluttershoek,Soerendonk
6027PT,7,,Kluttershoek,Soerendonk
6026RC,1,,Koenraadtweg,Maarheeze
6026RC,2,,Koenraadtweg,Maarheeze
6026RC,4,,Koenraadtweg,Maarheeze
6026RC,6,,Koenraadtweg,Maarheeze
6026RC,8,,Koenraadtweg,Maarheeze
6026RC,10,,Koenraadtweg,Maarheeze
6026RC,12,,Koenraadtweg,Maarheeze
6026RC,14,,Koenraadtweg,Maarheeze
6026RC,16,,Koenraadtweg,Maarheeze
6026RC,18,,Koenraadtweg,Maarheeze
6026RC,20,,Koenraadtweg,Maarheeze
6026RC,22,,Koenraadtweg,Maarheeze
6026SC,1,,Konijnenberg,Maarheeze
6026SC,2,,Konijnenberg,Maarheeze
6026SC,4,,Konijnenberg,Maarheeze
6026SC,6,,Konijnenberg,Maarheeze
6024BE,1,,Koningin Emmastraat,Budel-Dorplein
6024BE,2,,Koningin Emmastraat,Budel-Dorplein
6024BE,3,,Koningin Emmastraat,Budel-Dorplein
6024BE,4,,Koningin Emmastraat,Budel-Dorplein
6024BE,5,,Koningin Emmastraat,Budel-Dorplein
6024BE,6,,Koningin Emmastraat,Budel-Dorplein
6024BE,7,,Koningin Emmastraat,Budel-Dorplein
6024BE,8,,Koningin Emmastraat,Budel-Dorplein
6024BE,9,,Koningin Emmastraat,Budel-Dorplein
6024BE,10,,Koningin Emmastraat,Budel-Dorplein
6024BE,11,,Koningin Emmastraat,Budel-Dorplein
6024BE,13,,Koningin Emmastraat,Budel-Dorplein
6024BE,15,,Koningin Emmastraat,Budel-Dorplein
6024BE,17,,Koningin Emmastraat,Budel-Dorplein
6024BE,19,,Koningin Emmastraat,Budel-Dorplein
6024BE,21,,Koningin Emmastraat,Budel-Dorplein
6024AW,2,,Koningin Julianastraat,Budel-Dorplein
6024AW,4,,Koningin Julianastraat,Budel-Dorplein
6024AW,6,,Koningin Julianastraat,Budel-Dorplein
6024AW,8,,Koningin Julianastraat,Budel-Dorplein
6024AW,10,,Koningin Julianastraat,Budel-Dorplein
6024BG,1,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,2,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,3,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,4,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,5,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,6,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,7,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,8,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,9,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,10,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,11,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,12,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,13,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,14,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,15,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,16,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,17,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,18,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,19,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,20,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,21,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,23,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,36,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,38,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,40,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,41,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,42,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,43,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,44,,Koningin Wilhelminastraat,Budel-Dorplein
6024BG,45,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,46,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,48,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,50,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,52,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,54,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,56,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,58,,Koningin Wilhelminastraat,Budel-Dorplein
6024BJ,60,,Koningin Wilhelminastraat,Budel-Dorplein
6026CD,1,,Korenbloemstraat,Maarheeze
6026CD,2,,Korenbloemstraat,Maarheeze
6026CD,3,,Korenbloemstraat,Maarheeze
6026CD,4,,Korenbloemstraat,Maarheeze
6026CD,5,,Korenbloemstraat,Maarheeze
6026CD,6,,Korenbloemstraat,Maarheeze
6026CD,7,,Korenbloemstraat,Maarheeze
6026CD,8,,Korenbloemstraat,Maarheeze
6026CD,9,,Korenbloemstraat,Maarheeze
6026CD,10,,Korenbloemstraat,Maarheeze
6026CD,12,,Korenbloemstraat,Maarheeze
6026CD,14,,Korenbloemstraat,Maarheeze
6026CD,16,,Korenbloemstraat,Maarheeze
6026CD,18,,Korenbloemstraat,Maarheeze
6027NS,1,,Kouwbergen,Soerendonk
6027NS,2,,Kouwbergen,Soerendonk
6027NS,3,,Kouwbergen,Soerendonk
6027NS,4,,Kouwbergen,Soerendonk
6027NS,5,,Kouwbergen,Soerendonk
6027NS,6,,Kouwbergen,Soerendonk
6027NE,2,,Kranenveld,Soerendonk
6027NE,4,,Kranenveld,Soerendonk
6027PA,1,,Kruisstraat,Soerendonk
6027PB,2,,Kruisstraat,Soerendonk
6027PA,3,,Kruisstraat,Soerendonk
6027PB,4,,Kruisstraat,Soerendonk
6027PA,5,,Kruisstraat,Soerendonk
6027PB,6,,Kruisstraat,Soerendonk
6027PA,7,,Kruisstraat,Soerendonk
6027PB,8,,Kruisstraat,Soerendonk
6027PA,9,,Kruisstraat,Soerendonk
6027PB,10,,Kruisstraat,Soerendonk
6027PA,11,,Kruisstraat,Soerendonk
6027PB,12,,Kruisstraat,Soerendonk
6027PA,13,,Kruisstraat,Soerendonk
6027PB,14,,Kruisstraat,Soerendonk
6027PA,15,,Kruisstraat,Soerendonk
6027PB,16,,Kruisstraat,Soerendonk
6027PA,17,,Kruisstraat,Soerendonk
6027PB,18,,Kruisstraat,Soerendonk
6027PA,19,,Kruisstraat,Soerendonk
6027PB,20,,Kruisstraat,Soerendonk
6027PA,21,,Kruisstraat,Soerendonk
6027PC,22,,Kruisstraat,Soerendonk
6027PA,23,,Kruisstraat,Soerendonk
6027PC,24,,Kruisstraat,Soerendonk
6027PA,25,,Kruisstraat,Soerendonk
6027PC,26,,Kruisstraat,Soerendonk
6027PA,27,,Kruisstraat,Soerendonk
6027PC,28,,Kruisstraat,Soerendonk
6027PA,29,,Kruisstraat,Soerendonk
6027PC,30,,Kruisstraat,Soerendonk
6027PA,31,,Kruisstraat,Soerendonk
6027PC,32,,Kruisstraat,Soerendonk
6027PA,33,,Kruisstraat,Soerendonk
6027PC,34,,Kruisstraat,Soerendonk
6027PA,35,,Kruisstraat,Soerendonk
6027PC,36,,Kruisstraat,Soerendonk
6027PA,37,,Kruisstraat,Soerendonk
6027PC,38,,Kruisstraat,Soerendonk
6027PC,40,,Kruisstraat,Soerendonk
6027PC,42,,Kruisstraat,Soerendonk
6027PC,44,,Kruisstraat,Soerendonk
6027PC,46,,Kruisstraat,Soerendonk
6027PC,48,,Kruisstraat,Soerendonk
6027PC,50,,Kruisstraat,Soerendonk
6027PC,52,,Kruisstraat,Soerendonk
6027PC,54,,Kruisstraat,Soerendonk
6027PC,56,,Kruisstraat,Soerendonk
6027PC,58,,Kruisstraat,Soerendonk
6027PC,60,,Kruisstraat,Soerendonk
6023CR,1,,Kruisstraat,Budel-Schoot
6023CR,2,,Kruisstraat,Budel-Schoot
6023CR,3,,Kruisstraat,Budel-Schoot
6023CR,4,,Kruisstraat,Budel-Schoot
6023CR,5,,Kruisstraat,Budel-Schoot
6023CR,6,,Kruisstraat,Budel-Schoot
6023CR,7,,Kruisstraat,Budel-Schoot
6023CR,8,,Kruisstraat,Budel-Schoot
6028RW,2,,Kuilenweg,Gastel
6028RW,4,,Kuilenweg,Gastel
6026EV,1,,Kwartel,Maarheeze
6026EV,2,,Kwartel,Maarheeze
6026EV,3,,Kwartel,Maarheeze
6026EV,4,,Kwartel,Maarheeze
6026EV,5,,Kwartel,Maarheeze
6026EV,6,,Kwartel,Maarheeze
6026EV,7,,Kwartel,Maarheeze
6026EV,8,,Kwartel,Maarheeze
6026EV,9,,Kwartel,Maarheeze
6026EV,10,,Kwartel,Maarheeze
6026EV,11,,Kwartel,Maarheeze
6026EV,12,,Kwartel,Maarheeze
6026EV,13,,Kwartel,Maarheeze
6026EV,14,,Kwartel,Maarheeze
6026EV,15,,Kwartel,Maarheeze
6026EV,16,,Kwartel,Maarheeze
6021PC,1,,Laarstraat,Budel
6021PC,3,,Laarstraat,Budel
6021PC,4,,Laarstraat,Budel
6026BE,1,,Lavendelstraat,Maarheeze
6026BE,3,,Lavendelstraat,Maarheeze
6026BE,5,,Lavendelstraat,Maarheeze
