2681BS,20,,Molenstraat,Monster
2295ND,107,,Hoenderparklaan,Kwintsheul
2295ND,109,,Hoenderparklaan,Kwintsheul
2295ND,111,,Hoenderparklaan,Kwintsheul
2295NH,88,,Hoenderparklaan,Kwintsheul
2295NH,90,,Hoenderparklaan,Kwintsheul
2295NH,92,,Hoenderparklaan,Kwintsheul
2295NH,94,,Hoenderparklaan,Kwintsheul
2295NH,96,,Hoenderparklaan,Kwintsheul
2295NH,98,,Hoenderparklaan,Kwintsheul
2295ND,119,,Hoenderparklaan,Kwintsheul
2295ND,121,,Hoenderparklaan,Kwintsheul
2295ND,123,,Hoenderparklaan,Kwintsheul
2295ND,125,,Hoenderparklaan,Kwintsheul
2295ND,127,,Hoenderparklaan,Kwintsheul
2295ND,135,,Hoenderparklaan,Kwintsheul
2295ND,139,,Hoenderparklaan,Kwintsheul
2295NE,2,,Hoenderparklaan,Kwintsheul
2295NE,4,,Hoenderparklaan,Kwintsheul
2295NE,6,,Hoenderparklaan,Kwintsheul
2295NE,8,,Hoenderparklaan,Kwintsheul
2295NE,10,,Hoenderparklaan,Kwintsheul
2295NE,12,,Hoenderparklaan,Kwintsheul
2295NE,14,,Hoenderparklaan,Kwintsheul
2295NH,80,,Hoenderparklaan,Kwintsheul
2295NH,82,,Hoenderparklaan,Kwintsheul
2295NH,84,,Hoenderparklaan,Kwintsheul
2295NH,86,,Hoenderparklaan,Kwintsheul
2295NH,118,,Hoenderparklaan,Kwintsheul
2295ND,115,,Hoenderparklaan,Kwintsheul
2295NE,16,,Hoenderparklaan,Kwintsheul
2295NE,18,,Hoenderparklaan,Kwintsheul
2295NE,20,,Hoenderparklaan,Kwintsheul
2295NE,22,,Hoenderparklaan,Kwintsheul
2295NE,24,,Hoenderparklaan,Kwintsheul
2295NE,26,,Hoenderparklaan,Kwintsheul
2295NE,28,,Hoenderparklaan,Kwintsheul
2295NE,30,,Hoenderparklaan,Kwintsheul
2295NE,32,,Hoenderparklaan,Kwintsheul
2295NE,34,,Hoenderparklaan,Kwintsheul
2295NE,36,,Hoenderparklaan,Kwintsheul
2295NE,38,,Hoenderparklaan,Kwintsheul
2295NE,40,,Hoenderparklaan,Kwintsheul
2295NE,42,,Hoenderparklaan,Kwintsheul
2295NG,44,,Hoenderparklaan,Kwintsheul
2295NG,46,,Hoenderparklaan,Kwintsheul
2295NG,48,,Hoenderparklaan,Kwintsheul
2295NG,50,,Hoenderparklaan,Kwintsheul
2295NG,52,,Hoenderparklaan,Kwintsheul
2295NG,54,,Hoenderparklaan,Kwintsheul
2295NG,56,,Hoenderparklaan,Kwintsheul
2295NG,58,,Hoenderparklaan,Kwintsheul
2295NG,60,,Hoenderparklaan,Kwintsheul
2295NG,62,,Hoenderparklaan,Kwintsheul
2295NG,64,,Hoenderparklaan,Kwintsheul
2295NG,66,,Hoenderparklaan,Kwintsheul
2295NG,68,,Hoenderparklaan,Kwintsheul
2295NG,70,,Hoenderparklaan,Kwintsheul
2295NG,72,,Hoenderparklaan,Kwintsheul
2295NG,74,,Hoenderparklaan,Kwintsheul
2295NG,76,,Hoenderparklaan,Kwintsheul
2295NH,78,,Hoenderparklaan,Kwintsheul
2671HJ,2,,Stokdijkhof,Naaldwijk
2671HJ,3,,Stokdijkhof,Naaldwijk
2671HJ,4,,Stokdijkhof,Naaldwijk
2671HJ,5,,Stokdijkhof,Naaldwijk
2671HJ,6,,Stokdijkhof,Naaldwijk
2671HJ,7,,Stokdijkhof,Naaldwijk
2671HJ,8,,Stokdijkhof,Naaldwijk
2671HJ,9,,Stokdijkhof,Naaldwijk
2671HJ,10,,Stokdijkhof,Naaldwijk
2671HJ,11,,Stokdijkhof,Naaldwijk
2671HJ,12,,Stokdijkhof,Naaldwijk
2671HJ,13,,Stokdijkhof,Naaldwijk
2671HJ,14,,Stokdijkhof,Naaldwijk
2671HJ,15,,Stokdijkhof,Naaldwijk
2671HJ,16,,Stokdijkhof,Naaldwijk
2671HJ,17,,Stokdijkhof,Naaldwijk
2671HJ,18,,Stokdijkhof,Naaldwijk
2671HJ,19,,Stokdijkhof,Naaldwijk
2671HJ,20,,Stokdijkhof,Naaldwijk
2671HJ,21,,Stokdijkhof,Naaldwijk
2671HJ,22,,Stokdijkhof,Naaldwijk
2671HJ,23,,Stokdijkhof,Naaldwijk
2671HJ,24,,Stokdijkhof,Naaldwijk
2671HJ,25,,Stokdijkhof,Naaldwijk
2671HJ,26,,Stokdijkhof,Naaldwijk
2671HJ,27,,Stokdijkhof,Naaldwijk
2671HK,28,,Stokdijkhof,Naaldwijk
2671HK,29,,Stokdijkhof,Naaldwijk
2671HK,30,,Stokdijkhof,Naaldwijk
2671HK,31,,Stokdijkhof,Naaldwijk
2671HK,32,,Stokdijkhof,Naaldwijk
2671HK,33,,Stokdijkhof,Naaldwijk
2671HK,34,,Stokdijkhof,Naaldwijk
2671HK,35,,Stokdijkhof,Naaldwijk
2671HK,36,,Stokdijkhof,Naaldwijk
2671HK,37,,Stokdijkhof,Naaldwijk
2671HK,38,,Stokdijkhof,Naaldwijk
2671HK,39,,Stokdijkhof,Naaldwijk
2671HK,40,,Stokdijkhof,Naaldwijk
2671HK,41,,Stokdijkhof,Naaldwijk
2291HT,200,,Dorpskade,Wateringen
2291NB,22,,Zwartveen,Wateringen
2291CW,9,,Gantelplein,Wateringen
2291JC,27,,Turfschipper,Wateringen
2295LG,12,,Kerkstraat,Kwintsheul
2295LW,23,,Hollewatering,Kwintsheul
2295MV,4,,Gasthuiswei,Kwintsheul
2295MX,6,,Hooghe Beer,Kwintsheul
2295MZ,19,,Hooghe Beer,Kwintsheul
2295NT,25,,Kievit,Kwintsheul
2295RV,35,1,Bovendijk,Kwintsheul
2295RZ,68,,Bovendijk,Kwintsheul
2671DP,49,,Burgemeester Elsenweg,Naaldwijk
2671LL,14,,Zwartendijk,Naaldwijk
2671LR,6,1,Grote Achterweg,Naaldwijk
2671LS,3,,Kleine Achterweg,Naaldwijk
2671LS,8,,Kleine Achterweg,Naaldwijk
2671LX,23,,Opstalweg,Naaldwijk
2671MX,21,,Sint Jorispad,Naaldwijk
2675BD,18,,Nieuweweg,Honselersdijk
2675BD,27,,Nieuweweg,Honselersdijk
2675BE,27,,Nieuweweg,Honselersdijk
2675BL,27,1,Bospolder,Honselersdijk
2675CK,12,,Plaats,Honselersdijk
2675CK,20,1,Plaats,Honselersdijk
2675CM,16,,Poeldijksepad,Honselersdijk
2675KB,28,,Middel Broekweg,Honselersdijk
2675SB,8,,Van Ockenburchlaan,Honselersdijk
2676BL,15,,Lange Kruisweg,Maasdijk
2676CM,37,,Oranjepolderweg,Maasdijk
2676CM,53,,Oranjepolderweg,Maasdijk
2676LE,12,,Aartsdijkweg,Maasdijk
2676LJ,32,,Bandijkweg,Maasdijk
2676LJ,64,,Bandijkweg,Maasdijk
2676LM,51,,Transportweg,Maasdijk
2678CW,22,,Lierweg,De Lier
2678CZ,10,,Laan van Adrichem,De Lier
2678EE,1,,Koningin Beatrixstraat,De Lier
2678ER,5,,Abel Tasmanlaan,De Lier
2678KC,5,,Leeweg,De Lier
2678KN,16,,Oudecampsweg,De Lier
2678LA,18,,Laan van Zeestraten,De Lier
2678LN,38,,Veilingweg,De Lier
2678LR,20,,Kralingerweg,De Lier
2678LT,20,,Burgemeester vd Goeslaan,De Lier
2678LV,46,,Noord-Lierweg,De Lier
2678LV,12,,Noord-Lierweg,De Lier
2678LW,6,1,Blaker,De Lier
2678LW,9,,Blaker,De Lier
2678MC,42,,Leehove,De Lier
2678NG,17,,Woudtzicht,De Lier
2678NG,7,,Woudtzicht,De Lier
2678PT,15,,Poortcamp,De Lier
2678SZ,142,,Kerklaan,De Lier
2681AN,23,,Frans Halsstraat,Monster
2681LC,47,,Havenstraat,Monster
2681LH,1,,Raaphorstlaan,Monster
2681LX,1,,Alkemadelaan,Monster
2681MB,10,,De Poel,Monster
2681MS,48,,Wiegers,Monster
2681PA,33,1,Haagweg,Monster
2681PB,57,,Haagweg,Monster
2681PM,11,,Claes de Wyckerlaan,Monster
2681PN,38,,Madeweg,Monster
2681PM,38,,Madeweg,Monster
2681RD,3,1,Molenweg,Monster
2681RV,9,,Stationsweg,Monster
2681VN,7,,Heijdseweg,Monster
2681VM,3,,Heijdsepad,Monster
2685AE,3,,Scherpenhoeklaan,Poeldijk
2685EL,119,,Voorstraat,Poeldijk
2685LH,4,,Monsterseweg,Poeldijk
2685SJ,16,,Wenpad,Poeldijk
2685SN,28,,Arckelweg,Poeldijk
2685SW,71,,Wateringseweg,Poeldijk
2685DJ,41,,Paul Captijnlaan,Poeldijk
2694BD,1,,Gasthuislaan,'s-Gravenzande
2691AH,4,,Veilingkade,'s-Gravenzande
2691AL,1,,Gravenstraat,'s-Gravenzande
2691AT,1,,Karekiet,'s-Gravenzande
2691HZ,16,,Rijnveste,'s-Gravenzande
2691HZ,15,,Rijnveste,'s-Gravenzande
2691GV,4,,Einsteinstraat,'s-Gravenzande
2691GV,2,,Einsteinstraat,'s-Gravenzande
2691GW,1,,Marconistraat,'s-Gravenzande
2691GX,1,,Stephensonstraat,'s-Gravenzande
2691GZ,2,1,Wattstraat,'s-Gravenzande
2691JK,12,,Arendsduin,'s-Gravenzande
2691JM,31,,Parallelweg,'s-Gravenzande
2691JP,7,,Perzikenlaan,'s-Gravenzande
2691JX,13,,Boerenlaan,'s-Gravenzande
2691MV,19,,Laan van de Heilige Lambertus,'s-Gravenzande
2691ML,107,,Groeneweg,'s-Gravenzande
2691ND,2,,Gravin van Bylandtlaan,'s-Gravenzande
2691PC,98,,Maasdijk,'s-Gravenzande
2691LX,22,,Steenenburchweg,'s-Gravenzande
2691PH,94,,Zanddijk,'s-Gravenzande
2691PP,93,ELEC,Woutersweg,'s-Gravenzande
2691RA,213,,Naaldwijkseweg,'s-Gravenzande
2691RV,3,,Zuidwind,'s-Gravenzande
2691SW,1,,Jade,'s-Gravenzande
2691VT,6,,Prinses Beatrixstraat,'s-Gravenzande
2691CX,1,,Prinses Christinastraat,'s-Gravenzande
2691ZR,98,,van de Kasteelestraat,'s-Gravenzande
2692AD,50,,Hellendaalweg,'s-Gravenzande
2676BR,22,,Geerbos,Maasdijk
2684XJ,1,,Duinhof,Ter Heijde
2681TX,924,,Vlotlaan,Monster
2681EX,2,,Clematis,Monster
2681JA,21,,van Brederodestraat,Monster
2681PM,9,,Claes de Wyckerlaan,Monster
2685LT,70,,De Poel,Poeldijk
2676VR,10,,Witte de Withstraat,Maasdijk
2685XS,63,,Nieuwstraat,Poeldijk
2685CG,3,,Fonteinstraat,Poeldijk
2675SW,33,,Mariëndijk,Honselersdijk
2675KR,2,,Oostheullaan,Honselersdijk
2675EG,2,,Roelslaan,Honselersdijk
2675KV,5,1,Sprongenloet,Honselersdijk
2675KZ,17,,Barreveldslaan,Honselersdijk
2675LJ,70,1,Broekpolderlaan,Honselersdijk
2671CT,22,,Industriestraat,Naaldwijk
2681LP,47,,Zwartendijk,Monster
2671MT,53,,Galgeweg,Naaldwijk
2685BG,1,TRAF,Beatrixstraat,Poeldijk
2676VN,1,GA01,Prinsenlaan,Maasdijk
2676VN,1,GA02,Prinsenlaan,Maasdijk
2676VN,1,GA03,Prinsenlaan,Maasdijk
2676VN,1,GA04,Prinsenlaan,Maasdijk
2676VN,1,GA05,Prinsenlaan,Maasdijk
2676VN,1,GA06,Prinsenlaan,Maasdijk
2676VN,1,GA07,Prinsenlaan,Maasdijk
2676VG,24,GA03,Kortenaerstraat,Maasdijk
2676VG,24,GA06,Kortenaerstraat,Maasdijk
2676BS,64,,Korte Kruisweg,Maasdijk
2678LT,84,,Oostbuurtseweg,De Lier
2678LS,84,,Oostbuurtseweg,De Lier
2678AG,116,,Kijckerweg,De Lier
2291CL,49,GAR2,Hofzicht,Wateringen
2291CL,49,GAR3,Hofzicht,Wateringen
2291CM,53,GAR2,Hofzicht,Wateringen
2291CM,53,GAR3,Hofzicht,Wateringen
2291CM,67,GAR,Hofzicht,Wateringen
2291CD,1,GAR,Kerklaan,Wateringen
2291CD,5,GAR1,Kerklaan,Wateringen
2291CE,79,12,Kerklaan,Wateringen
2291CE,33,GAR2,Kerklaan,Wateringen
2291CD,33,GAR2,Kerklaan,Wateringen
2691GX,3,,Stephensonstraat,'s-Gravenzande
2691GX,7,,Stephensonstraat,'s-Gravenzande
2691LM,30,,Anjerstraat,'s-Gravenzande
2678VV,2,ga3,van Swietenstraat,De Lier
2678VV,2,ga4,van Swietenstraat,De Lier
2678VV,2,ga5,van Swietenstraat,De Lier
2691TT,26,,Oudelandhof,'s-Gravenzande
2678LL,7,,Burgemeester vd Goeslaan,De Lier
2691WK,44,GA02,Rijnvaartweg,'s-Gravenzande
2691WK,46,GA03,Rijnvaartweg,'s-Gravenzande
2691GB,53,GA03,Koningin Julianaweg,'s-Gravenzande
2671LZ,2,,Boomgaardspad,Naaldwijk
2671GH,17,,Havenstraat,Naaldwijk
2671LK,59,,Hoge Geest,Naaldwijk
2671CM,25,,Grote Woerdlaan,Naaldwijk
2671DJ,11,,Nijverheidstraat,Naaldwijk
2671ZP,1,,Warmoezenierstraat,Naaldwijk
2671ZP,3,,Warmoezenierstraat,Naaldwijk
2671ZP,5,,Warmoezenierstraat,Naaldwijk
2671ZP,7,,Warmoezenierstraat,Naaldwijk
2671ZP,9,,Warmoezenierstraat,Naaldwijk
2671ZP,11,,Warmoezenierstraat,Naaldwijk
2671ZP,13,,Warmoezenierstraat,Naaldwijk
2671ZP,15,,Warmoezenierstraat,Naaldwijk
2671ZP,17,,Warmoezenierstraat,Naaldwijk
2671ZP,19,,Warmoezenierstraat,Naaldwijk
2671ZP,21,,Warmoezenierstraat,Naaldwijk
2671NB,3,,Oranjesluisweg,Naaldwijk
2671LA,44,,Meloenstraat,Naaldwijk
2671LA,42,GA10,Meloenstraat,Naaldwijk
2671LA,42,GA11,Meloenstraat,Naaldwijk
2671LA,42,GA12,Meloenstraat,Naaldwijk
2671LA,42,GA13,Meloenstraat,Naaldwijk
2671LA,42,GA14,Meloenstraat,Naaldwijk
2671LA,42,GA15,Meloenstraat,Naaldwijk
2671LA,42,GA02,Meloenstraat,Naaldwijk
2671LA,42,GA04,Meloenstraat,Naaldwijk
2671LA,42,GA05,Meloenstraat,Naaldwijk
2671LA,42,GA06,Meloenstraat,Naaldwijk
2671SX,12,GA02,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA03,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA04,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA05,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA06,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA07,Mr. Jan Tuningstraat,Naaldwijk
2671SX,12,GA08,Mr. Jan Tuningstraat,Naaldwijk
2671VK,4,,Franckstraat,Naaldwijk
2671VK,2,,Franckstraat,Naaldwijk
2671VK,1,,Franckstraat,Naaldwijk
2671VK,1,GA29,Franckstraat,Naaldwijk
2671VK,1,GA30,Franckstraat,Naaldwijk
2671VK,1,GA31,Franckstraat,Naaldwijk
2671VK,1,GA32,Franckstraat,Naaldwijk
2671VK,1,GA33,Franckstraat,Naaldwijk
2671VK,1,GA34,Franckstraat,Naaldwijk
2671VK,1,GA35,Franckstraat,Naaldwijk
2671VK,1,GA36,Franckstraat,Naaldwijk
2671VK,1,GA37,Franckstraat,Naaldwijk
2671VK,1,GA38,Franckstraat,Naaldwijk
2671VK,1,GA39,Franckstraat,Naaldwijk
2671VK,1,GA40,Franckstraat,Naaldwijk
2671VK,1,GA41,Franckstraat,Naaldwijk
2671VK,1,GA42,Franckstraat,Naaldwijk
2671VK,1,GA43,Franckstraat,Naaldwijk
2671KA,1,GA01,Gerberalaan,Naaldwijk
2671KA,1,GA02,Gerberalaan,Naaldwijk
2671KA,1,GA03,Gerberalaan,Naaldwijk
2671KE,68,GA01,Gerberalaan,Naaldwijk
2671KE,68,GA02,Gerberalaan,Naaldwijk
2671KE,68,GA06,Gerberalaan,Naaldwijk
2671KE,68,GA07,Gerberalaan,Naaldwijk
2671KE,68,GA08,Gerberalaan,Naaldwijk
2671NK,12,GA01,Kamperfoelie,Naaldwijk
2671NK,20,,Kamperfoelie,Naaldwijk
2671NK,12,GA02,Kamperfoelie,Naaldwijk
2671NK,18,,Kamperfoelie,Naaldwijk
2671NK,12,GA03,Kamperfoelie,Naaldwijk
2671NK,16,,Kamperfoelie,Naaldwijk
2671NK,12,GA04,Kamperfoelie,Naaldwijk
2671NK,14,,Kamperfoelie,Naaldwijk
2671NK,12,GA05,Kamperfoelie,Naaldwijk
2671NK,12,,Kamperfoelie,Naaldwijk
2671NJ,49,GA01,Kamperfoelie,Naaldwijk
2671NJ,53,,Kamperfoelie,Naaldwijk
2671NJ,49,GA02,Kamperfoelie,Naaldwijk
2671NJ,51,,Kamperfoelie,Naaldwijk
2671NJ,49,GA03,Kamperfoelie,Naaldwijk
2671NJ,49,,Kamperfoelie,Naaldwijk
2671NP,23,GA01,Oleander,Naaldwijk
2671NP,23,,Oleander,Naaldwijk
2671NP,23,GA02,Oleander,Naaldwijk
2671NP,23,GA03,Oleander,Naaldwijk
2671NP,23,GA04,Oleander,Naaldwijk
2671NP,23,GA05,Oleander,Naaldwijk
2671WH,2,GA01,Lisdodde,Naaldwijk
2671WH,2,GA02,Lisdodde,Naaldwijk
2671WH,2,GA03,Lisdodde,Naaldwijk
2671WH,2,GA04,Lisdodde,Naaldwijk
2671WH,2,GA05,Lisdodde,Naaldwijk
2671WB,38,GA01,Kalmoes,Naaldwijk
2671WB,38,GA02,Kalmoes,Naaldwijk
2672BL,2,GA01,Tilanusstraat,Naaldwijk
2672BL,2,GA02,Tilanusstraat,Naaldwijk
2672BL,2,GA03,Tilanusstraat,Naaldwijk
2672BL,2,GA04,Tilanusstraat,Naaldwijk
2672BL,2,GA05,Tilanusstraat,Naaldwijk
2671CB,59,GA01,Kleine Woerdlaan,Naaldwijk
2671CB,61,GA01,Kleine Woerdlaan,Naaldwijk
2671CL,38,,Grote Woerdlaan,Naaldwijk
2675BN,3,,Stuartlaan,Honselersdijk
2675KV,8,,Sprongenloet,Honselersdijk
2675AV,43,,Dijkstraat,Honselersdijk
2675TR,54,,Pijnacker Hordijklaan,Honselersdijk
2675TR,56,,Pijnacker Hordijklaan,Honselersdijk
2675TR,58,,Pijnacker Hordijklaan,Honselersdijk
2675TR,60,,Pijnacker Hordijklaan,Honselersdijk
2675TR,62,,Pijnacker Hordijklaan,Honselersdijk
2675TR,64,,Pijnacker Hordijklaan,Honselersdijk
2675TR,66,,Pijnacker Hordijklaan,Honselersdijk
2675SV,8,,Mariëndijk,Honselersdijk
2291GC,22,,Poeldijkseweg,Wateringen
2291GC,24,,Poeldijkseweg,Wateringen
2291GC,26,,Poeldijkseweg,Wateringen
2291GC,30,,Poeldijkseweg,Wateringen
2291GC,32,,Poeldijkseweg,Wateringen
2291GC,34,,Poeldijkseweg,Wateringen
2291GC,36,,Poeldijkseweg,Wateringen
2295LT,6,,Laan Hertewijk,Kwintsheul
2691JK,110,,Monsterseweg,Monster
2681DL,10,,Otterschelp,Monster
2681DK,5,,Platschelp,Monster
2691JK,112,,Monsterseweg,Monster
2681DK,9,,Platschelp,Monster
2681CV,1,,Burg Woutersplein,Monster
2681CV,2,,Burg Woutersplein,Monster
2681CV,3,,Burg Woutersplein,Monster
2681CV,4,,Burg Woutersplein,Monster
2681CV,5,,Burg Woutersplein,Monster
2681CV,6,,Burg Woutersplein,Monster
2681CV,7,,Burg Woutersplein,Monster
2681CV,8,,Burg Woutersplein,Monster
2681CV,9,,Burg Woutersplein,Monster
2681CV,10,,Burg Woutersplein,Monster
2681CV,11,,Burg Woutersplein,Monster
2681CV,12,,Burg Woutersplein,Monster
2681CV,13,,Burg Woutersplein,Monster
2681CV,14,,Burg Woutersplein,Monster
2681CV,15,,Burg Woutersplein,Monster
2681TZ,810,,Vlotlaan,Monster
2681TX,810,,Vlotlaan,Monster
2681KZ,8,,Havenhof,Monster
2681AB,41,,Burgemeester Kampschöerstraat,Monster
2681AA,25,,Burgemeester Kampschöerstraat,Monster
2681AB,25,,Burgemeester Kampschöerstraat,Monster
2681BS,31,,Molenstraat,Monster
2681BM,31,,Molenstraat,Monster
2681BM,37,,Molenstraat,Monster
2681VM,2,,Heijdsepad,Monster
2681EM,4,GAR,Seringenstraat,Monster
2681EM,6,GAR,Seringenstraat,Monster
2681EM,8,GAR,Seringenstraat,Monster
2681SK,277,GAR,Rijnweg,Monster
2681SK,285,GAR,Rijnweg,Monster
2681PJ,2,,Claes de Wyckerlaan,Monster
2685LX,14,,Saturnus,Poeldijk
2685LV,59,,Jupiter,Poeldijk
2685LX,7,,Saturnus,Poeldijk
2685LJ,13,,Monsterseweg,Poeldijk
2685XN,67,,Nieuwstraat,Poeldijk
2685DE,374,,ABC Westland,Poeldijk
2685DD,374,,ABC Westland,Poeldijk
2685DE,390,,ABC Westland,Poeldijk
2685DD,390,,ABC Westland,Poeldijk
2676VX,15,GA01,Doormanstraat,Maasdijk
2676VX,15,,Doormanstraat,Maasdijk
2676VX,15,GA02,Doormanstraat,Maasdijk
2676VX,16,,Doormanstraat,Maasdijk
2676VX,15,GA03,Doormanstraat,Maasdijk
2676VX,17,,Doormanstraat,Maasdijk
2676VX,15,GA04,Doormanstraat,Maasdijk
2676VX,18,,Doormanstraat,Maasdijk
2676VX,15,GA05,Doormanstraat,Maasdijk
2676VX,19,,Doormanstraat,Maasdijk
2676VX,15,GA06,Doormanstraat,Maasdijk
2676VX,20,,Doormanstraat,Maasdijk
2676BS,161,,Korte Kruisweg,Maasdijk
2676BS,159,,Korte Kruisweg,Maasdijk
2676AM,1,,Willem III straat,Maasdijk
2676LG,1,,Coldenhovelaan,Maasdijk
2676VN,11,GA01,Prinsenlaan,Maasdijk
2676VN,11,GA02,Prinsenlaan,Maasdijk
2676CD,16,,Prins Willem-Alexanderstraat,Maasdijk
2676BD,47,,Tuindersweg,Maasdijk
2676NC,5,,Oudedijk,Maasdijk
2291DK,6,,Kerkevoetpad,Wateringen
2291DK,4,,Kerkevoetpad,Wateringen
2291DK,2,,Kerkevoetpad,Wateringen
2291DK,5,,Kerkevoetpad,Wateringen
2291DK,3,,Kerkevoetpad,Wateringen
2291DK,1,,Kerkevoetpad,Wateringen
2291DJ,6,,Pastoorspad,Wateringen
2291DJ,4,,Pastoorspad,Wateringen
2291DJ,2,,Pastoorspad,Wateringen
2291DJ,5,,Pastoorspad,Wateringen
2291DJ,3,,Pastoorspad,Wateringen
2291DJ,1,,Pastoorspad,Wateringen
2291DH,8,,Boomgaardpad,Wateringen
2291DH,6,,Boomgaardpad,Wateringen
2291DH,4,,Boomgaardpad,Wateringen
2291DH,2,,Boomgaardpad,Wateringen
2291DH,5,,Boomgaardpad,Wateringen
2291DH,3,,Boomgaardpad,Wateringen
2291DH,1,,Boomgaardpad,Wateringen
2291DG,9,,Waterstaatspad,Wateringen
2291DG,7,,Waterstaatspad,Wateringen
2291DG,5,,Waterstaatspad,Wateringen
2291DG,3,,Waterstaatspad,Wateringen
2291DG,1,,Waterstaatspad,Wateringen
2291WX,26,,De Gorzen,Wateringen
2291WX,20,,De Gorzen,Wateringen
2291WX,18,,De Gorzen,Wateringen
2291WX,16,,De Gorzen,Wateringen
2291NT,10,,Veenbes,Wateringen
2291PE,21,,'s-Gravenzandseweg,Wateringen
2291PE,17,,'s-Gravenzandseweg,Wateringen
2291PE,14,,'s-Gravenzandseweg,Wateringen
2291PE,36,,'s-Gravenzandseweg,Wateringen
2291HP,59,,Dorpskade,Wateringen
2291WX,11,,De Gorzen,Wateringen
2291WX,5,,De Gorzen,Wateringen
2291CW,74,,Gantelplein,Wateringen
2678TS,66,,van Nijenrodestraat,De Lier
2678TS,68,,van Nijenrodestraat,De Lier
2678TS,70,,van Nijenrodestraat,De Lier
2678TS,74,,van Nijenrodestraat,De Lier
2678TS,76,,van Nijenrodestraat,De Lier
2678TS,78,,van Nijenrodestraat,De Lier
2678TS,80,,van Nijenrodestraat,De Lier
2678PT,11,,Poortcamp,De Lier
2678PT,2,,Poortcamp,De Lier
2678ED,9,,Koningin Julianalaan,De Lier
2678LG,8,,Laan van Poot,De Lier
2678CZ,20,,Laan van Adrichem,De Lier
2678CK,34,,Hoofdstraat,De Lier
2678CK,32,,Hoofdstraat,De Lier
2678VG,1,,Sportlaan,De Lier
2678VK,99,,van Alkemadestraat,De Lier
2678VK,97,,van Alkemadestraat,De Lier
2678AG,10,,Jogchem van der Houtweg,De Lier
2678AC,123,,Kijckerweg,De Lier
2678LZ,41,,Kade van Ras,De Lier
2678WE,3,,Frankenthaler,De Lier
2685LX,12,,Saturnus,Poeldijk
2685XN,65,,Nieuwstraat,Poeldijk
2685AP,1030,vbo,Nieuweweg,Poeldijk
2685SJ,36,,Wenpad,Poeldijk
2685SM,20,,Arckelweg,Poeldijk
2685SL,31,,Arckelweg,Poeldijk
2685ST,49,,Wateringseweg,Poeldijk
2685VH,15,,A.J. van Reststraat,Poeldijk
2685LJ,7,,Monsterseweg,Poeldijk
2671LN,24,,Dortlaan,Naaldwijk
2671LN,22,,Dortlaan,Naaldwijk
2671LN,26,,Dortlaan,Naaldwijk
