7671JL,73,,Nieuwe Wierdenseweg,Vriezenveen
7681ER,47,,Nieuwstraat,Vroomshoop
7681ET,48,,Nieuwstraat,Vroomshoop
7681ER,49,,Nieuwstraat,Vroomshoop
7681ET,50,,Nieuwstraat,Vroomshoop
7681ET,52,,Nieuwstraat,Vroomshoop
7681ER,53,,Nieuwstraat,Vroomshoop
7681ET,54,,Nieuwstraat,Vroomshoop
7681ET,56,,Nieuwstraat,Vroomshoop
7681ET,58,,Nieuwstraat,Vroomshoop
7681ET,60,,Nieuwstraat,Vroomshoop
7671DA,2,,Nijverheidsweg,Vriezenveen
7671DA,4,,Nijverheidsweg,Vriezenveen
7671DA,5,,Nijverheidsweg,Vriezenveen
7671DA,6,,Nijverheidsweg,Vriezenveen
7671DA,7,,Nijverheidsweg,Vriezenveen
7671DA,8,,Nijverheidsweg,Vriezenveen
7671DA,10,,Nijverheidsweg,Vriezenveen
7671DA,10,traf,Nijverheidsweg,Vriezenveen
7671DA,16,,Nijverheidsweg,Vriezenveen
7671DA,17,,Nijverheidsweg,Vriezenveen
7671DA,18,,Nijverheidsweg,Vriezenveen
7671DA,19,,Nijverheidsweg,Vriezenveen
7671DA,20,,Nijverheidsweg,Vriezenveen
7671DA,21,,Nijverheidsweg,Vriezenveen
7671DA,24,,Nijverheidsweg,Vriezenveen
7671DA,27,,Nijverheidsweg,Vriezenveen
7671DA,28,,Nijverheidsweg,Vriezenveen
7671DA,29,,Nijverheidsweg,Vriezenveen
7671DA,31,,Nijverheidsweg,Vriezenveen
7671DA,32,,Nijverheidsweg,Vriezenveen
7671DA,34,,Nijverheidsweg,Vriezenveen
7671DA,35,,Nijverheidsweg,Vriezenveen
7675TE,2,,Nikkelsweg,Bruinehaar
7675TD,5,,Nikkelsweg,Bruinehaar
7675TE,6,,Nikkelsweg,Bruinehaar
7675TD,7,,Nikkelsweg,Bruinehaar
7675TE,8,,Nikkelsweg,Bruinehaar
7675TE,10,,Nikkelsweg,Bruinehaar
7675TE,12,,Nikkelsweg,Bruinehaar
7675TE,14,,Nikkelsweg,Bruinehaar
7675TD,15,,Nikkelsweg,Bruinehaar
7675TD,17,,Nikkelsweg,Bruinehaar
7675TD,19,,Nikkelsweg,Bruinehaar
7675TD,21,,Nikkelsweg,Bruinehaar
7675TD,23,,Nikkelsweg,Bruinehaar
7675TD,25,,Nikkelsweg,Bruinehaar
7675TD,27,,Nikkelsweg,Bruinehaar
7681CB,1,,Noorderweg,Vroomshoop
7681CB,3,,Noorderweg,Vroomshoop
7681CB,4,,Noorderweg,Vroomshoop
7681CB,5,,Noorderweg,Vroomshoop
7681CB,6,,Noorderweg,Vroomshoop
7681CB,8,,Noorderweg,Vroomshoop
7681CB,9,,Noorderweg,Vroomshoop
7681CB,10,,Noorderweg,Vroomshoop
7681CB,12,,Noorderweg,Vroomshoop
7681CB,13,,Noorderweg,Vroomshoop
7681CB,14,,Noorderweg,Vroomshoop
7681CB,17,,Noorderweg,Vroomshoop
7681CB,19,,Noorderweg,Vroomshoop
7681CB,20,,Noorderweg,Vroomshoop
7681CB,21,,Noorderweg,Vroomshoop
7681CB,22,,Noorderweg,Vroomshoop
7681CB,23,,Noorderweg,Vroomshoop
7681CB,24,,Noorderweg,Vroomshoop
7681CB,25,,Noorderweg,Vroomshoop
7681CD,26,,Noorderweg,Vroomshoop
7681CD,27,,Noorderweg,Vroomshoop
7681CD,28,,Noorderweg,Vroomshoop
7681CD,29,,Noorderweg,Vroomshoop
7681CD,30,,Noorderweg,Vroomshoop
7681CD,31,,Noorderweg,Vroomshoop
7681CD,32,,Noorderweg,Vroomshoop
7681CD,33,,Noorderweg,Vroomshoop
7681CD,34,,Noorderweg,Vroomshoop
7681CD,35,,Noorderweg,Vroomshoop
7681CD,36,,Noorderweg,Vroomshoop
7681CD,37,,Noorderweg,Vroomshoop
7681CE,38,,Noorderweg,Vroomshoop
7681CE,40,,Noorderweg,Vroomshoop
7681CD,41,,Noorderweg,Vroomshoop
7681CE,42,,Noorderweg,Vroomshoop
7681CE,43,,Noorderweg,Vroomshoop
7681CE,45,,Noorderweg,Vroomshoop
7681CE,46,,Noorderweg,Vroomshoop
7681CH,47,,Noorderweg,Vroomshoop
7681CE,47,,Noorderweg,Vroomshoop
7681CE,49,,Noorderweg,Vroomshoop
7681CE,50,,Noorderweg,Vroomshoop
7681CE,51,,Noorderweg,Vroomshoop
7686CE,53,,Noorderweg,Geerdijk
7686CE,54,,Noorderweg,Geerdijk
7686CE,56,,Noorderweg,Geerdijk
7686CE,60,,Noorderweg,Geerdijk
7686CG,61,,Noorderweg,Geerdijk
7686CG,62,,Noorderweg,Geerdijk
7686CG,64,,Noorderweg,Geerdijk
7686CG,65,,Noorderweg,Geerdijk
7686CG,68,,Noorderweg,Geerdijk
7686CG,69,,Noorderweg,Geerdijk
7686CG,70,,Noorderweg,Geerdijk
7686CG,71,,Noorderweg,Geerdijk
7686CG,72,,Noorderweg,Geerdijk
7686CG,73,,Noorderweg,Geerdijk
7686CG,74,,Noorderweg,Geerdijk
7686CG,75,,Noorderweg,Geerdijk
7686CG,76,,Noorderweg,Geerdijk
7686CG,78,,Noorderweg,Geerdijk
7686CG,79,,Noorderweg,Geerdijk
7686CG,81,,Noorderweg,Geerdijk
7686CH,83,,Noorderweg,Geerdijk
7686CH,84,,Noorderweg,Geerdijk
7686CH,85,,Noorderweg,Geerdijk
7686CH,87,,Noorderweg,Geerdijk
7686CH,88,,Noorderweg,Geerdijk
7686CH,89,,Noorderweg,Geerdijk
7686CH,90,,Noorderweg,Geerdijk
7686CH,91,,Noorderweg,Geerdijk
7686CH,92,,Noorderweg,Geerdijk
7686CH,93,,Noorderweg,Geerdijk
7686CH,94,,Noorderweg,Geerdijk
7686CH,95,,Noorderweg,Geerdijk
7686CH,96,,Noorderweg,Geerdijk
7686CJ,97,,Noorderweg,Geerdijk
7686CJ,98,,Noorderweg,Geerdijk
7686CJ,99,,Noorderweg,Geerdijk
7686CJ,100,,Noorderweg,Geerdijk
7686CJ,102,,Noorderweg,Geerdijk
7686CJ,103,,Noorderweg,Geerdijk
7686CJ,104,,Noorderweg,Geerdijk
7686CJ,104,TRAF,Noorderweg,Geerdijk
7686CJ,104,traf,Noorderweg,Geerdijk
7686CJ,105,,Noorderweg,Geerdijk
7686CJ,106,,Noorderweg,Geerdijk
7686CJ,107,,Noorderweg,Geerdijk
7686CJ,108,,Noorderweg,Geerdijk
7686CJ,109,,Noorderweg,Geerdijk
7686CJ,110,,Noorderweg,Geerdijk
7686CJ,111,,Noorderweg,Geerdijk
7671RX,2,,Oeverweg,Vriezenveen
7671RX,4,,Oeverweg,Vriezenveen
7683AV,1,,Ommerweg,Den Ham
7683AX,2,,Ommerweg,Den Ham
7683AV,3,,Ommerweg,Den Ham
7683AV,5,,Ommerweg,Den Ham
7683AX,6,,Ommerweg,Den Ham
7683AX,8,,Ommerweg,Den Ham
7683AV,9,,Ommerweg,Den Ham
7683AX,10,,Ommerweg,Den Ham
7683AX,14,,Ommerweg,Den Ham
7683AV,15,,Ommerweg,Den Ham
7683AX,16,,Ommerweg,Den Ham
7683AX,20,,Ommerweg,Den Ham
7683AX,22,,Ommerweg,Den Ham
7683AX,24,,Ommerweg,Den Ham
7683AX,26,,Ommerweg,Den Ham
7683AV,27,,Ommerweg,Den Ham
7683AX,28,,Ommerweg,Den Ham
7683AV,29,,Ommerweg,Den Ham
7683AX,30,,Ommerweg,Den Ham
7683AV,31,,Ommerweg,Den Ham
7683AX,32,,Ommerweg,Den Ham
7683AV,33,,Ommerweg,Den Ham
7683AX,34,,Ommerweg,Den Ham
7683AV,35,,Ommerweg,Den Ham
7683AX,36,,Ommerweg,Den Ham
7683AV,37,,Ommerweg,Den Ham
7683AX,38,,Ommerweg,Den Ham
7683AV,39,,Ommerweg,Den Ham
7683AX,40,,Ommerweg,Den Ham
7683AX,42,,Ommerweg,Den Ham
7683AV,43,,Ommerweg,Den Ham
7683AX,44,,Ommerweg,Den Ham
7683AV,45,,Ommerweg,Den Ham
7683AX,48,,Ommerweg,Den Ham
7683AV,49,,Ommerweg,Den Ham
7683AZ,50,,Ommerweg,Den Ham
7683AW,51,,Ommerweg,Den Ham
7683AZ,52,,Ommerweg,Den Ham
7683AW,53,,Ommerweg,Den Ham
7683AW,55,,Ommerweg,Den Ham
7683AZ,56,,Ommerweg,Den Ham
7683AW,57,,Ommerweg,Den Ham
7683AZ,58,,Ommerweg,Den Ham
7683AW,59,,Ommerweg,Den Ham
7683AZ,60,,Ommerweg,Den Ham
7683AW,61,,Ommerweg,Den Ham
7683AZ,62,,Ommerweg,Den Ham
7683AW,63,,Ommerweg,Den Ham
7683AZ,64,,Ommerweg,Den Ham
7683AW,65,,Ommerweg,Den Ham
7683AZ,66,,Ommerweg,Den Ham
7683AW,67,,Ommerweg,Den Ham
7683AZ,68,,Ommerweg,Den Ham
7683AW,69,,Ommerweg,Den Ham
7683AZ,70,,Ommerweg,Den Ham
7683AW,71,,Ommerweg,Den Ham
7683AZ,72,,Ommerweg,Den Ham
7683AW,73,,Ommerweg,Den Ham
7683AZ,74,,Ommerweg,Den Ham
7683AZ,76,,Ommerweg,Den Ham
7683AW,77,,Ommerweg,Den Ham
7683AW,79,,Ommerweg,Den Ham
7671AR,1,,Oosteinde,Vriezenveen
7671AR,3,,Oosteinde,Vriezenveen
7671AR,7,,Oosteinde,Vriezenveen
7671AA,10,,Oosteinde,Vriezenveen
7671AR,11,,Oosteinde,Vriezenveen
7671AR,13,,Oosteinde,Vriezenveen
7671AA,14,,Oosteinde,Vriezenveen
7671AR,15,,Oosteinde,Vriezenveen
7671AA,16,,Oosteinde,Vriezenveen
7671AR,17,,Oosteinde,Vriezenveen
7671AA,18,,Oosteinde,Vriezenveen
7671AR,19,,Oosteinde,Vriezenveen
7671AR,21,,Oosteinde,Vriezenveen
7671AA,22,,Oosteinde,Vriezenveen
7671AR,23,,Oosteinde,Vriezenveen
7671AA,24,,Oosteinde,Vriezenveen
7671AR,25,,Oosteinde,Vriezenveen
7671AA,26,,Oosteinde,Vriezenveen
7671AR,29,,Oosteinde,Vriezenveen
7671AR,31,,Oosteinde,Vriezenveen
7671AR,33,,Oosteinde,Vriezenveen
7671AR,35,,Oosteinde,Vriezenveen
7671AA,36,,Oosteinde,Vriezenveen
7671AR,37,,Oosteinde,Vriezenveen
7671AR,39,,Oosteinde,Vriezenveen
7671AA,40,,Oosteinde,Vriezenveen
7671AA,42,,Oosteinde,Vriezenveen
7671AR,43,,Oosteinde,Vriezenveen
7671AR,45,,Oosteinde,Vriezenveen
7671AS,49,,Oosteinde,Vriezenveen
7671AB,50,,Oosteinde,Vriezenveen
7671AS,51,,Oosteinde,Vriezenveen
7671AB,52,,Oosteinde,Vriezenveen
7671AB,54,,Oosteinde,Vriezenveen
7671AS,55,,Oosteinde,Vriezenveen
7671AB,56,,Oosteinde,Vriezenveen
7671AS,57,,Oosteinde,Vriezenveen
7671AS,59,,Oosteinde,Vriezenveen
7671AB,60,,Oosteinde,Vriezenveen
7671AS,61,,Oosteinde,Vriezenveen
7671AB,62,,Oosteinde,Vriezenveen
7671AS,63,,Oosteinde,Vriezenveen
7671AB,64,,Oosteinde,Vriezenveen
7671AS,65,,Oosteinde,Vriezenveen
7671AB,66,,Oosteinde,Vriezenveen
7671AS,67,,Oosteinde,Vriezenveen
7671AB,68,,Oosteinde,Vriezenveen
7671AB,70,,Oosteinde,Vriezenveen
7671AS,71,,Oosteinde,Vriezenveen
7671AB,72,,Oosteinde,Vriezenveen
7671AS,73,,Oosteinde,Vriezenveen
7671AB,74,,Oosteinde,Vriezenveen
7671AB,74,traf,Oosteinde,Vriezenveen
7671AS,75,,Oosteinde,Vriezenveen
7671AB,76,,Oosteinde,Vriezenveen
7671AT,77,,Oosteinde,Vriezenveen
7671AT,85,,Oosteinde,Vriezenveen
7671AB,86,,Oosteinde,Vriezenveen
7671AB,88,,Oosteinde,Vriezenveen
7671AB,90,,Oosteinde,Vriezenveen
7671AT,93,,Oosteinde,Vriezenveen
7671AB,96,,Oosteinde,Vriezenveen
7671AT,97,,Oosteinde,Vriezenveen
7671AB,98,,Oosteinde,Vriezenveen
7671AT,99,,Oosteinde,Vriezenveen
7671AB,100,,Oosteinde,Vriezenveen
7671AT,101,,Oosteinde,Vriezenveen
7671AB,102,,Oosteinde,Vriezenveen
7671AB,104,,Oosteinde,Vriezenveen
7671AT,107,,Oosteinde,Vriezenveen
7671AB,108,,Oosteinde,Vriezenveen
7671AT,109,,Oosteinde,Vriezenveen
7671AC,110,,Oosteinde,Vriezenveen
7671AT,111,,Oosteinde,Vriezenveen
7671AC,112,,Oosteinde,Vriezenveen
7671AT,113,,Oosteinde,Vriezenveen
7671AC,114,,Oosteinde,Vriezenveen
7671AV,115,,Oosteinde,Vriezenveen
7671AV,117,,Oosteinde,Vriezenveen
7671AC,118,,Oosteinde,Vriezenveen
7671AV,119,,Oosteinde,Vriezenveen
7671AV,121,,Oosteinde,Vriezenveen
7671AC,122,,Oosteinde,Vriezenveen
7671AV,123,,Oosteinde,Vriezenveen
7671AC,124,,Oosteinde,Vriezenveen
7671AV,125,,Oosteinde,Vriezenveen
7671AC,126,,Oosteinde,Vriezenveen
7671AV,127,,Oosteinde,Vriezenveen
7671AC,128,,Oosteinde,Vriezenveen
7671AC,130,,Oosteinde,Vriezenveen
7671AV,131,,Oosteinde,Vriezenveen
7671AC,132,,Oosteinde,Vriezenveen
7671AV,133,,Oosteinde,Vriezenveen
7671AC,134,,Oosteinde,Vriezenveen
7671AC,136,,Oosteinde,Vriezenveen
7671AV,137,,Oosteinde,Vriezenveen
7671AC,138,,Oosteinde,Vriezenveen
7671AV,141,,Oosteinde,Vriezenveen
7671AC,142,,Oosteinde,Vriezenveen
7671AV,143,,Oosteinde,Vriezenveen
7671AC,144,,Oosteinde,Vriezenveen
7671AV,145,,Oosteinde,Vriezenveen
7671AC,146,,Oosteinde,Vriezenveen
7671AC,148,,Oosteinde,Vriezenveen
7671AC,148,traf,Oosteinde,Vriezenveen
7671AC,150,,Oosteinde,Vriezenveen
7671AV,151,,Oosteinde,Vriezenveen
7671AV,155,,Oosteinde,Vriezenveen
7671AV,157,,Oosteinde,Vriezenveen
7671AC,158,,Oosteinde,Vriezenveen
7671AV,159,,Oosteinde,Vriezenveen
7671AC,160,,Oosteinde,Vriezenveen
7671AW,161,,Oosteinde,Vriezenveen
7671AC,162,,Oosteinde,Vriezenveen
7671AW,163,,Oosteinde,Vriezenveen
7671AC,164,,Oosteinde,Vriezenveen
7671AW,165,,Oosteinde,Vriezenveen
7671AC,166,,Oosteinde,Vriezenveen
7671AW,167,,Oosteinde,Vriezenveen
7671AC,168,,Oosteinde,Vriezenveen
7671AC,170,,Oosteinde,Vriezenveen
7671AD,170,,Oosteinde,Vriezenveen
7671AW,169,,Oosteinde,Vriezenveen
7671AW,171,,Oosteinde,Vriezenveen
7671AD,172,,Oosteinde,Vriezenveen
7671AW,173,,Oosteinde,Vriezenveen
7671AD,174,,Oosteinde,Vriezenveen
7671AD,176,,Oosteinde,Vriezenveen
7671AW,177,,Oosteinde,Vriezenveen
7671AD,178,,Oosteinde,Vriezenveen
7671AD,180,,Oosteinde,Vriezenveen
7671AD,182,,Oosteinde,Vriezenveen
7671AW,183,,Oosteinde,Vriezenveen
7671AD,184,,Oosteinde,Vriezenveen
7671AW,185,,Oosteinde,Vriezenveen
7671AD,186,,Oosteinde,Vriezenveen
7671AD,190,,Oosteinde,Vriezenveen
7671AW,191,,Oosteinde,Vriezenveen
7671AD,192,,Oosteinde,Vriezenveen
7671AW,193,,Oosteinde,Vriezenveen
7671AD,194,,Oosteinde,Vriezenveen
7671AD,196,,Oosteinde,Vriezenveen
7671AD,198,,Oosteinde,Vriezenveen
7671AX,199,,Oosteinde,Vriezenveen
7671AE,200,,Oosteinde,Vriezenveen
7671AX,201,,Oosteinde,Vriezenveen
7671AX,203,,Oosteinde,Vriezenveen
7671AE,204,,Oosteinde,Vriezenveen
7671AX,205,,Oosteinde,Vriezenveen
7671AE,206,,Oosteinde,Vriezenveen
7671AX,207,,Oosteinde,Vriezenveen
7671AE,208,,Oosteinde,Vriezenveen
7671AX,209,,Oosteinde,Vriezenveen
7671AE,210,,Oosteinde,Vriezenveen
7671AX,211,,Oosteinde,Vriezenveen
7671AE,212,,Oosteinde,Vriezenveen
7671AX,213,,Oosteinde,Vriezenveen
7671AE,214,,Oosteinde,Vriezenveen
7671AE,216,,Oosteinde,Vriezenveen
7671AX,217,,Oosteinde,Vriezenveen
7671AE,218,,Oosteinde,Vriezenveen
7671AX,219,,Oosteinde,Vriezenveen
7671AE,220,,Oosteinde,Vriezenveen
7671AX,221,,Oosteinde,Vriezenveen
7671AX,223,,Oosteinde,Vriezenveen
7671AX,225,,Oosteinde,Vriezenveen
7671AX,227,,Oosteinde,Vriezenveen
7671AX,229,,Oosteinde,Vriezenveen
7671AX,231,,Oosteinde,Vriezenveen
7671AZ,233,,Oosteinde,Vriezenveen
7671AZ,237,,Oosteinde,Vriezenveen
7671AE,238,,Oosteinde,Vriezenveen
7671AE,240,,Oosteinde,Vriezenveen
7671AE,242,,Oosteinde,Vriezenveen
7671AZ,243,,Oosteinde,Vriezenveen
7671AE,246,,Oosteinde,Vriezenveen
7671AZ,247,,Oosteinde,Vriezenveen
7671AE,248,,Oosteinde,Vriezenveen
7671AZ,249,,Oosteinde,Vriezenveen
7671AE,250,,Oosteinde,Vriezenveen
7671AZ,251,,Oosteinde,Vriezenveen
7671AZ,253,,Oosteinde,Vriezenveen
7671AE,254,,Oosteinde,Vriezenveen
7671AZ,255,,Oosteinde,Vriezenveen
7671AZ,257,,Oosteinde,Vriezenveen
7671ER,259,,Oosteinde,Vriezenveen
7671BA,259,,Oosteinde,Vriezenveen
7671AE,260,,Oosteinde,Vriezenveen
7671AE,262,,Oosteinde,Vriezenveen
7671BA,263,,Oosteinde,Vriezenveen
7671BA,265,,Oosteinde,Vriezenveen
7671AE,266,,Oosteinde,Vriezenveen
7671BA,267,,Oosteinde,Vriezenveen
7671AG,268,,Oosteinde,Vriezenveen
7671AG,270,,Oosteinde,Vriezenveen
7671BA,271,,Oosteinde,Vriezenveen
7671AG,272,,Oosteinde,Vriezenveen
7671BA,273,,Oosteinde,Vriezenveen
7671AG,274,,Oosteinde,Vriezenveen
7671BA,275,,Oosteinde,Vriezenveen
7671BA,277,,Oosteinde,Vriezenveen
7671AG,278,,Oosteinde,Vriezenveen
7671BA,279,,Oosteinde,Vriezenveen
7671BA,281,,Westeinde,Vriezenveen
7671BA,283,,Oosteinde,Vriezenveen
7671AG,284,,Oosteinde,Vriezenveen
7671BA,285,,Oosteinde,Vriezenveen
7670AB,286,,Oosteinde,Vriezenveen
7671AG,286,,Oosteinde,Vriezenveen
7671BA,287,,Oosteinde,Vriezenveen
7671BA,289,,Oosteinde,Vriezenveen
7671BA,291,,Oosteinde,Vriezenveen
7671AG,292,,Oosteinde,Vriezenveen
7671BA,293,,Oosteinde,Vriezenveen
7671BA,297,,Oosteinde,Vriezenveen
7671AG,298,,Oosteinde,Vriezenveen
7671AG,300,,Oosteinde,Vriezenveen
7671BA,301,,Oosteinde,Vriezenveen
7671AG,302,,Oosteinde,Vriezenveen
7671BB,303,,Oosteinde,Vriezenveen
7671AG,304,,Oosteinde,Vriezenveen
7671BB,305,,Oosteinde,Vriezenveen
7671BB,309,,Oosteinde,Vriezenveen
7671BB,311,,Oosteinde,Vriezenveen
7671AG,312,,Oosteinde,Vriezenveen
7671BB,313,,Oosteinde,Vriezenveen
7671BB,315,,Oosteinde,Vriezenveen
7671AG,316,,Oosteinde,Vriezenveen
7671BB,317,,Oosteinde,Vriezenveen
7671AG,318,,Oosteinde,Vriezenveen
7671BB,319,,Oosteinde,Vriezenveen
7671AG,320,,Oosteinde,Vriezenveen
7671BB,321,,Oosteinde,Vriezenveen
7671AG,322,,Oosteinde,Vriezenveen
7671BB,323,,Oosteinde,Vriezenveen
7671AG,324,,Oosteinde,Vriezenveen
7671AG,326,,Oosteinde,Vriezenveen
7671BB,327,,Oosteinde,Vriezenveen
7671BB,329,,Oosteinde,Vriezenveen
7671AG,330,,Oosteinde,Vriezenveen
7671BB,331,,Oosteinde,Vriezenveen
7671AG,332,,Oosteinde,Vriezenveen
7671BB,333,,Oosteinde,Vriezenveen
7671AH,334,,Oosteinde,Vriezenveen
7671BB,335,,Oosteinde,Vriezenveen
7671AH,336,,Oosteinde,Vriezenveen
7671BB,337,,Oosteinde,Vriezenveen
7671AH,338,,Oosteinde,Vriezenveen
7671BB,339,,Oosteinde,Vriezenveen
7671AH,340,,Oosteinde,Vriezenveen
7671BB,341,,Oosteinde,Vriezenveen
7671AH,342,,Oosteinde,Vriezenveen
7671BB,343,,Oosteinde,Vriezenveen
7671BB,345,,Oosteinde,Vriezenveen
7671AH,346,,Oosteinde,Vriezenveen
7671BC,347,,Oosteinde,Vriezenveen
7671AH,348,,Oosteinde,Vriezenveen
7671BC,349,,Oosteinde,Vriezenveen
7671AH,350,,Oosteinde,Vriezenveen
7671BC,353,,Oosteinde,Vriezenveen
7671AH,354,,Oosteinde,Vriezenveen
7671BC,355,,Oosteinde,Vriezenveen
7671BC,355,traf,Oosteinde,Vriezenveen
7671AH,356,,Oosteinde,Vriezenveen
7671BC,357,,Oosteinde,Vriezenveen
7671AH,358,,Oosteinde,Vriezenveen
7671BC,361,,Oosteinde,Vriezenveen
7671AH,362,,Oosteinde,Vriezenveen
7671BC,363,,Oosteinde,Vriezenveen
7671AH,364,,Oosteinde,Vriezenveen
7671BC,365,,Oosteinde,Vriezenveen
7671BC,367,,Oosteinde,Vriezenveen
7671AN,368,,Oosteinde,Vriezenveen
7671AJ,368,,Oosteinde,Vriezenveen
7671AH,368,,Oosteinde,Vriezenveen
7671BC,369,,Oosteinde,Vriezenveen
7671AH,370,,Oosteinde,Vriezenveen
7671BC,371,,Oosteinde,Vriezenveen
7671BC,373,,Oosteinde,Vriezenveen
7671AH,374,,Oosteinde,Vriezenveen
7671BC,375,,Oosteinde,Vriezenveen
7671AJ,376,,Oosteinde,Vriezenveen
7671AJ,378,,Oosteinde,Vriezenveen
7671BC,379,,Oosteinde,Vriezenveen
7671BC,381,,Oosteinde,Vriezenveen
7671AJ,382,,Oosteinde,Vriezenveen
7671BC,383,,Oosteinde,Vriezenveen
7671AJ,384,,Oosteinde,Vriezenveen
7671BC,385,,Oosteinde,Vriezenveen
7671AJ,386,,Oosteinde,Vriezenveen
7671BD,387,,Oosteinde,Vriezenveen
7671AJ,388,,Oosteinde,Vriezenveen
7671BD,389,,Oosteinde,Vriezenveen
7671AJ,390,,Oosteinde,Vriezenveen
7671BD,391,,Oosteinde,Vriezenveen
7671AJ,392,,Oosteinde,Vriezenveen
7671BD,393,,Oosteinde,Vriezenveen
7671BD,395,,Oosteinde,Vriezenveen
7671BD,397,,Oosteinde,Vriezenveen
7671AJ,398,,Oosteinde,Vriezenveen
7671BD,399,,Oosteinde,Vriezenveen
7671AJ,400,,Oosteinde,Vriezenveen
7671AJ,402,,Oosteinde,Vriezenveen
7671BD,403,,Oosteinde,Vriezenveen
7671BD,405,,Oosteinde,Vriezenveen
7671BD,407,,Oosteinde,Vriezenveen
7671BD,413,,Oosteinde,Vriezenveen
7671BD,415,,Oosteinde,Vriezenveen
7671BD,415,traf,Oosteinde,Vriezenveen
7671BD,417,,Oosteinde,Vriezenveen
7671RM,3,,Oostermaatweg,Vriezenveen
7671RN,4,,Oostermaatweg,Vriezenveen
7671RM,5,,Oostermaatweg,Vriezenveen
7671RM,5,traf,Oostermaatweg,Vriezenveen
7671RN,6,,Oostermaatweg,Vriezenveen
7671RM,7,,Oostermaatweg,Vriezenveen
7671RN,8,,Oostermaatweg,Vriezenveen
7671RM,9,,Oostermaatweg,Vriezenveen
7671RW,10,,Oostermaatweg,Vriezenveen
7671RN,10,,Oostermaatweg,Vriezenveen
7671RM,11,,Oostermaatweg,Vriezenveen
7671RM,11,traf,Oostermaatweg,Vriezenveen
7671RN,12,,Oostermaatweg,Vriezenveen
7671RM,13,,Oostermaatweg,Vriezenveen
7681CN,1,,Opgang,Vroomshoop
7681CN,2,,Opgang,Vroomshoop
7681CN,3,,Opgang,Vroomshoop
7681CN,4,,Opgang,Vroomshoop
7681CN,5,,Opgang,Vroomshoop
7681CN,6,,Opgang,Vroomshoop
7681CN,7,,Opgang,Vroomshoop
7681CN,8,,Opgang,Vroomshoop
7681CN,9,,Opgang,Vroomshoop
7681CN,10,,Opgang,Vroomshoop
7681CN,11,,Opgang,Vroomshoop
7681CN,13,,Opgang,Vroomshoop
7681AZ,5,,Oranjeplein,Vroomshoop
7681AZ,5,ap01,Oranjeplein,Vroomshoop
7681AZ,5,ap02,Oranjeplein,Vroomshoop
7681AZ,5,ap03,Oranjeplein,Vroomshoop
7681AZ,5,ap04,Oranjeplein,Vroomshoop
