9675KH,1,,Vossenburcht,Winschoten
9679VA,27,,Grotelant,Scheemda
9679VA,29,,Grotelant,Scheemda
9685HB,31,,Anholt,Blauwestad
9675RP,7,,Priorij,Winschoten
9685HB,15,,Anholt,Blauwestad
9679BS,3,,Esbörgstraat,Scheemda
9679BS,9,,Esbörgstraat,Scheemda
9679BS,11,,Esbörgstraat,Scheemda
9685AH,22,,Grutto,Blauwestad
9685AG,12,,Leeuwerik,Blauwestad
9685AG,14,,Leeuwerik,Blauwestad
9685AG,16,,Leeuwerik,Blauwestad
9685AG,18,,Leeuwerik,Blauwestad
9685AG,20,,Leeuwerik,Blauwestad
9685AG,22,,Leeuwerik,Blauwestad
9675RL,2,,Boekerij,Winschoten
9672AH,51,,A.J. Romijnweg,Winschoten
9679AS,3,,Gasthuislaan,Scheemda
9685EA,6,,Cantharel,Blauwestad
9685EA,9,,Cantharel,Blauwestad
9685HB,10,,Anholt,Blauwestad
9685CC,12,,Kaafijzer,Blauwestad
9685EB,44,,Cantharel,Blauwestad
9685CA,17,,Scheepsmeter,Blauwestad
9685EA,2,,Cantharel,Blauwestad
9679KR,17,,Randstede,Scheemda
9685CC,25,,Kaafijzer,Blauwestad
9685CB,22,,Misthoorn,Blauwestad
9685CD,2,,Kievit,Blauwestad
9685CD,5,,Kievit,Blauwestad
9685CD,7,,Kievit,Blauwestad
9685AL,46,,Kiekendief,Blauwestad
9685EB,32,,Cantharel,Blauwestad
9685AG,30,,Leeuwerik,Blauwestad
9685CA,29,,Scheepsmeter,Blauwestad
9685CA,2,,Scheepsmeter,Blauwestad
9673CV,40,,Maasstraat,Winschoten
9679KR,15,,Randstede,Scheemda
9679KR,13,,Randstede,Scheemda
9685EB,45,,Cantharel,Blauwestad
9685EB,49,,Cantharel,Blauwestad
9677RD,1,,Dillenburglaan,Heiligerlee
9685EA,3,,Cantharel,Blauwestad
9671ED,51,,Torenstraat,Winschoten
9671ED,53,,Torenstraat,Winschoten
9685HA,38,,Freya,Blauwestad
9685AL,50,,Kiekendief,Blauwestad
9685AL,34,,Kiekendief,Blauwestad
9685CB,18,,Misthoorn,Blauwestad
9685AG,32,,Leeuwerik,Blauwestad
9685HB,36,,Anholt,Blauwestad
9685CD,8,,Kievit,Blauwestad
9977PP,45,,Kloosterlaan,Heiligerlee
9685EC,53,,Elfenbank,Blauwestad
9685HA,12,,Freya,Blauwestad
9672BG,7,,Papierbaan,Winschoten
9671BK,1,2,Beertsterstraat,Winschoten
9671BK,1,4,Beertsterstraat,Winschoten
9671BK,1,6,Beertsterstraat,Winschoten
9671BK,1,7,Beertsterstraat,Winschoten
9685CB,14,,Misthoorn,Blauwestad
9685CB,24,,Misthoorn,Blauwestad
9673CG,10,,Scheldestraat,Winschoten
9677PS,29,,Hoethslaan,Heiligerlee
8061GC,3,,Achter het Pannenwerk,Hasselt
8061GC,4,,Achter het Pannenwerk,Hasselt
8061GC,6,,Achter het Pannenwerk,Hasselt
8281BV,25,,Achterstraat,Genemuiden
8281BV,4,,Achterstraat,Genemuiden
8281AJ,33,,Oosterkaai,Genemuiden
8281BJ,33,,Oosterkaai,Genemuiden
8281BV,23,,Achterstraat,Genemuiden
8281BV,27,,Achterstraat,Genemuiden
8281BV,29,,Achterstraat,Genemuiden
8281BV,33,,Achterstraat,Genemuiden
8281BV,31,,Achterstraat,Genemuiden
8281BV,41,,Achterstraat,Genemuiden
8281BV,11,,Achterstraat,Genemuiden
8281BV,19,,Achterstraat,Genemuiden
8281BV,21,,Achterstraat,Genemuiden
8281BV,13,,Achterstraat,Genemuiden
8281BV,15,,Achterstraat,Genemuiden
8281BV,17,,Achterstraat,Genemuiden
8281BV,35,,Achterstraat,Genemuiden
8281BV,56,,Achterstraat,Genemuiden
8281CK,25,,Prinses Julianastraat,Genemuiden
8281BV,54,,Achterstraat,Genemuiden
8281CK,23,,Prinses Julianastraat,Genemuiden
8281BV,52,,Achterstraat,Genemuiden
8281BV,50,,Achterstraat,Genemuiden
8281BV,48,,Achterstraat,Genemuiden
8281BV,46,,Achterstraat,Genemuiden
8281BV,44,,Achterstraat,Genemuiden
8281BV,42,,Achterstraat,Genemuiden
8281BV,40,,Achterstraat,Genemuiden
8281CK,40,,Prinses Julianastraat,Genemuiden
8281BV,70,,Achterstraat,Genemuiden
8281BV,68,,Achterstraat,Genemuiden
8281BV,66,,Achterstraat,Genemuiden
8281BV,64,,Achterstraat,Genemuiden
8281BV,62,,Achterstraat,Genemuiden
8281BV,60,,Achterstraat,Genemuiden
8281BV,58,,Achterstraat,Genemuiden
8281BV,37,,Achterstraat,Genemuiden
8281AT,21,,Achterweg,Genemuiden
8281AT,40,,Achterweg,Genemuiden
8281AT,50,,Achterweg,Genemuiden
8281AT,98,,Achterweg,Genemuiden
8281AT,96,,Achterweg,Genemuiden
8281AT,94,,Achterweg,Genemuiden
8281AT,77,,Achterweg,Genemuiden
8281AT,75,,Achterweg,Genemuiden
8281AT,2,,Achterweg,Genemuiden
8281AT,44,,Achterweg,Genemuiden
8281AT,46,,Achterweg,Genemuiden
8281AT,62,,Achterweg,Genemuiden
8281AT,72,,Achterweg,Genemuiden
8281AT,112,,Achterweg,Genemuiden
8281AT,130,,Achterweg,Genemuiden
8281AT,100,,Achterweg,Genemuiden
8281AT,54,,Achterweg,Genemuiden
8281AT,70,,Achterweg,Genemuiden
8281AT,48,,Achterweg,Genemuiden
8281AT,3,,Achterweg,Genemuiden
8281AT,5,,Achterweg,Genemuiden
8281AT,7,,Achterweg,Genemuiden
8281AT,25,,Achterweg,Genemuiden
8281AT,51,,Achterweg,Genemuiden
8281AT,47,,Achterweg,Genemuiden
8281AT,45,,Achterweg,Genemuiden
8281AT,11,,Achterweg,Genemuiden
8281AT,53,,Achterweg,Genemuiden
8281AT,4,,Achterweg,Genemuiden
8281AT,55,,Achterweg,Genemuiden
8281AT,1,,Achterweg,Genemuiden
8281AT,59,,Achterweg,Genemuiden
8281AT,57,,Achterweg,Genemuiden
8281AT,84,,Achterweg,Genemuiden
8281AT,82,,Achterweg,Genemuiden
8281AT,80,,Achterweg,Genemuiden
8281AT,78,,Achterweg,Genemuiden
8281AT,76,,Achterweg,Genemuiden
8281AT,74,,Achterweg,Genemuiden
8281AT,36,,Achterweg,Genemuiden
8281AT,34,,Achterweg,Genemuiden
8281AT,32,,Achterweg,Genemuiden
8281AT,134,,Achterweg,Genemuiden
8281AT,132,,Achterweg,Genemuiden
8281AT,20,,Achterweg,Genemuiden
8281AT,18,,Achterweg,Genemuiden
8281AT,124,,Achterweg,Genemuiden
8281AT,122,,Achterweg,Genemuiden
8281AT,120,,Achterweg,Genemuiden
8281AT,102,,Achterweg,Genemuiden
8281AT,88,,Achterweg,Genemuiden
8281AT,30,,Achterweg,Genemuiden
8281AT,28,,Achterweg,Genemuiden
8281AT,26,,Achterweg,Genemuiden
8281AT,24,,Achterweg,Genemuiden
8281AT,22,,Achterweg,Genemuiden
8281AT,16,,Achterweg,Genemuiden
8281AT,14,,Achterweg,Genemuiden
8281AT,6,,Achterweg,Genemuiden
8281AT,118,,Achterweg,Genemuiden
8281AT,116,,Achterweg,Genemuiden
8281AT,92,,Achterweg,Genemuiden
8281AT,90,,Achterweg,Genemuiden
8064AH,1,,Adelaarstraat,Zwartsluis
8064AH,6,,Adelaarstraat,Zwartsluis
8281DN,1,,Admiraal de Ruyterstraat,Genemuiden
8281DN,7,,Admiraal de Ruyterstraat,Genemuiden
8281DN,11,,Admiraal de Ruyterstraat,Genemuiden
8281DN,15,,Admiraal de Ruyterstraat,Genemuiden
8281DP,28,,Admiraal de Ruyterstraat,Genemuiden
8281DP,26,,Admiraal de Ruyterstraat,Genemuiden
8281DP,24,,Admiraal de Ruyterstraat,Genemuiden
8281DP,4,,Admiraal de Ruyterstraat,Genemuiden
8281DP,2,,Admiraal de Ruyterstraat,Genemuiden
8281DN,29,,Admiraal de Ruyterstraat,Genemuiden
8281DN,27,,Admiraal de Ruyterstraat,Genemuiden
8281DN,25,,Admiraal de Ruyterstraat,Genemuiden
8281DN,23,,Admiraal de Ruyterstraat,Genemuiden
8281DN,21,,Admiraal de Ruyterstraat,Genemuiden
8281DN,19,,Admiraal de Ruyterstraat,Genemuiden
8281DN,17,,Admiraal de Ruyterstraat,Genemuiden
8281DP,22,,Admiraal de Ruyterstraat,Genemuiden
8281DP,20,,Admiraal de Ruyterstraat,Genemuiden
8281DP,18,,Admiraal de Ruyterstraat,Genemuiden
8281DP,16,,Admiraal de Ruyterstraat,Genemuiden
8281DP,14,,Admiraal de Ruyterstraat,Genemuiden
8281DP,12,,Admiraal de Ruyterstraat,Genemuiden
8281DP,10,,Admiraal de Ruyterstraat,Genemuiden
8281DP,8,,Admiraal de Ruyterstraat,Genemuiden
8281DP,6,,Admiraal de Ruyterstraat,Genemuiden
8281DN,13,,Admiraal de Ruyterstraat,Genemuiden
8281DN,9,,Admiraal de Ruyterstraat,Genemuiden
8281DN,5,,Admiraal de Ruyterstraat,Genemuiden
8281DN,3,,Admiraal de Ruyterstraat,Genemuiden
8061RN,18,,Ambachtsweg,Hasselt
8061RN,28,1,Ambachtsweg,Hasselt
8061RN,20,,Ambachtsweg,Hasselt
8061RN,28,2,Ambachtsweg,Hasselt
8061RN,14,,Ambachtsweg,Hasselt
8061RN,4,,Ambachtsweg,Hasselt
8061RM,11,,Ambachtsweg,Hasselt
8061RM,15,,Ambachtsweg,Hasselt
8061RM,17,,Ambachtsweg,Hasselt
8061RM,19,,Ambachtsweg,Hasselt
8061RN,24,,Ambachtsweg,Hasselt
8061RN,28,6,Ambachtsweg,Hasselt
8061RN,22,,Ambachtsweg,Hasselt
8061RN,28,3,Ambachtsweg,Hasselt
8061RN,26,,Ambachtsweg,Hasselt
8061RN,28,4,Ambachtsweg,Hasselt
8061RM,1,,Ambachtsweg,Hasselt
8061RN,28,,Ambachtsweg,Hasselt
8061RN,28,9,Ambachtsweg,Hasselt
8061RM,7,,Ambachtsweg,Hasselt
8061RN,16,,Ambachtsweg,Hasselt
8061RN,28,11,Ambachtsweg,Hasselt
8061RM,39,,Ambachtsweg,Hasselt
8061RM,3,,Ambachtsweg,Hasselt
8061RM,9,,Ambachtsweg,Hasselt
8061RM,41,,Ambachtsweg,Hasselt
8061RN,30,,Ambachtsweg,Hasselt
8061RN,12,,Ambachtsweg,Hasselt
8061RN,10,,Ambachtsweg,Hasselt
8061RN,2,,Ambachtsweg,Hasselt
8061RM,13,,Ambachtsweg,Hasselt
8064BC,1,,Arembergerstraat,Zwartsluis
8064BC,7,,Arembergerstraat,Zwartsluis
8064BC,3,,Arembergerstraat,Zwartsluis
8064BC,9,,Arembergerstraat,Zwartsluis
8064BD,2,,Arembergerstraat,Zwartsluis
8064BD,6,,Arembergerstraat,Zwartsluis
8064BE,42,,Arembergerstraat,Zwartsluis
8064BE,40,,Arembergerstraat,Zwartsluis
8064BE,38,,Arembergerstraat,Zwartsluis
8064BE,36,,Arembergerstraat,Zwartsluis
8064BE,34,,Arembergerstraat,Zwartsluis
8064BE,32,,Arembergerstraat,Zwartsluis
8064BE,30,,Arembergerstraat,Zwartsluis
8064BD,28,,Arembergerstraat,Zwartsluis
8064BD,26,,Arembergerstraat,Zwartsluis
8064BD,24,,Arembergerstraat,Zwartsluis
8064BD,22,,Arembergerstraat,Zwartsluis
8064BD,20,,Arembergerstraat,Zwartsluis
8064BD,16,,Arembergerstraat,Zwartsluis
8064BD,14,,Arembergerstraat,Zwartsluis
8064BD,12,,Arembergerstraat,Zwartsluis
8064BD,10,,Arembergerstraat,Zwartsluis
8064BD,8,,Arembergerstraat,Zwartsluis
8064BE,60,,Arembergerstraat,Zwartsluis
8064BE,58,,Arembergerstraat,Zwartsluis
8064BE,56,,Arembergerstraat,Zwartsluis
8064BE,54,,Arembergerstraat,Zwartsluis
8064BE,52,,Arembergerstraat,Zwartsluis
8064BE,50,,Arembergerstraat,Zwartsluis
8064BE,48,,Arembergerstraat,Zwartsluis
8064BE,46,,Arembergerstraat,Zwartsluis
8064BE,44,,Arembergerstraat,Zwartsluis
8064BE,62,,Arembergerstraat,Zwartsluis
8064BD,4,,Arembergerstraat,Zwartsluis
8064BC,11,,Arembergerstraat,Zwartsluis
8061HZ,1,,Baangracht,Hasselt
8061HZ,5,,Baangracht,Hasselt
8061HZ,7,,Baangracht,Hasselt
8061HZ,11,,Baangracht,Hasselt
8061HZ,8,,Baangracht,Hasselt
8061HZ,6,,Baangracht,Hasselt
8061HZ,4,,Baangracht,Hasselt
8061HZ,2,,Baangracht,Hasselt
8061HZ,21,,Baangracht,Hasselt
8061HZ,19,,Baangracht,Hasselt
8061HZ,17,,Baangracht,Hasselt
8061HZ,15,,Baangracht,Hasselt
8061HZ,20,,Baangracht,Hasselt
8061HZ,18,,Baangracht,Hasselt
8061HZ,16,,Baangracht,Hasselt
8061HZ,14,,Baangracht,Hasselt
8061HZ,12,,Baangracht,Hasselt
8061HZ,10,,Baangracht,Hasselt
8061HZ,9,,Baangracht,Hasselt
8061HZ,5,f,Baangracht,Hasselt
8061HZ,3,,Baangracht,Hasselt
8064EZ,41,,Baanstraat,Zwartsluis
8064EZ,45,,Baanstraat,Zwartsluis
8064EZ,43,,Baanstraat,Zwartsluis
8064EZ,10,,Baanstraat,Zwartsluis
8064EZ,24,,Baanstraat,Zwartsluis
8064EZ,22,,Baanstraat,Zwartsluis
8064EZ,20,,Baanstraat,Zwartsluis
8064EZ,18,,Baanstraat,Zwartsluis
8064EZ,16,,Baanstraat,Zwartsluis
8064EZ,14,,Baanstraat,Zwartsluis
8064EZ,12,,Baanstraat,Zwartsluis
8064EZ,1,,Baanstraat,Zwartsluis
8064EZ,11,,Baanstraat,Zwartsluis
8064EZ,15,,Baanstraat,Zwartsluis
8064EZ,39,,Baanstraat,Zwartsluis
8064EZ,37,,Baanstraat,Zwartsluis
8064EZ,35,,Baanstraat,Zwartsluis
8064EZ,33,,Baanstraat,Zwartsluis
8064EZ,31,,Baanstraat,Zwartsluis
8064EZ,29,,Baanstraat,Zwartsluis
8064EZ,27,,Baanstraat,Zwartsluis
8064EZ,25,,Baanstraat,Zwartsluis
8064EZ,23,,Baanstraat,Zwartsluis
8064EZ,21,,Baanstraat,Zwartsluis
8064EZ,19,,Baanstraat,Zwartsluis
8064EZ,17,,Baanstraat,Zwartsluis
8064EZ,13,,Baanstraat,Zwartsluis
8064EZ,9,,Baanstraat,Zwartsluis
8064EZ,3,,Baanstraat,Zwartsluis
8064EZ,5,,Baanstraat,Zwartsluis
8064EZ,7,,Baanstraat,Zwartsluis
8064PG,1,,Baarlo,Zwartsluis
8064PG,5,,Baarlo,Zwartsluis
8064PG,2,,Baarlo,Zwartsluis
8064PG,4,,Baarlo,Zwartsluis
8064PG,6,,Baarlo,Zwartsluis
8064PG,3,,Baarlo,Zwartsluis
8281NJ,1,,Balk,Genemuiden
8281NJ,5,,Balk,Genemuiden
8281NJ,9,,Balk,Genemuiden
8281NJ,2,,Balk,Genemuiden
8281NJ,12,,Balk,Genemuiden
8281NJ,10,,Balk,Genemuiden
8281NJ,8,,Balk,Genemuiden
8281NJ,6,,Balk,Genemuiden
8281NJ,4,,Balk,Genemuiden
8281NJ,11,,Balk,Genemuiden
8281NJ,7,,Balk,Genemuiden
8281NJ,3,,Balk,Genemuiden
8064BX,8,,Beatrixstraat,Zwartsluis
8064BX,24,,Beatrixstraat,Zwartsluis
8064BX,34,,Beatrixstraat,Zwartsluis
8064BX,38,,Beatrixstraat,Zwartsluis
8064BX,4,,Beatrixstraat,Zwartsluis
8064BX,2,,Beatrixstraat,Zwartsluis
8064BW,15,,Beatrixstraat,Zwartsluis
8064BW,13,,Beatrixstraat,Zwartsluis
8064BW,11,,Beatrixstraat,Zwartsluis
8064BW,9,,Beatrixstraat,Zwartsluis
8064BW,7,,Beatrixstraat,Zwartsluis
8064BW,5,,Beatrixstraat,Zwartsluis
8064BW,3,,Beatrixstraat,Zwartsluis
8064BX,22,,Beatrixstraat,Zwartsluis
8064BX,20,,Beatrixstraat,Zwartsluis
8064BX,18,,Beatrixstraat,Zwartsluis
8064BX,16,,Beatrixstraat,Zwartsluis
8064BX,14,,Beatrixstraat,Zwartsluis
8064BX,12,,Beatrixstraat,Zwartsluis
8064BX,10,,Beatrixstraat,Zwartsluis
8064BX,6,,Beatrixstraat,Zwartsluis
8064BX,36,,Beatrixstraat,Zwartsluis
8064BX,32,,Beatrixstraat,Zwartsluis
8064BX,26,,Beatrixstraat,Zwartsluis
8064BX,28,,Beatrixstraat,Zwartsluis
8064BX,30,,Beatrixstraat,Zwartsluis
8281AP,7,,Benthemersteeg,Genemuiden
8281AP,1,,Benthemersteeg,Genemuiden
8281AP,3,,Benthemersteeg,Genemuiden
8281AP,5,,Benthemersteeg,Genemuiden
8281AP,2,,Benthemersteeg,Genemuiden
8281AP,8,,Benthemersteeg,Genemuiden
8281AP,6,,Benthemersteeg,Genemuiden
8281AP,4,,Benthemersteeg,Genemuiden
8281MH,2,,Bergroede,Genemuiden
8281MH,14,,Bergroede,Genemuiden
8281MH,32,,Bergroede,Genemuiden
8281MH,30,,Bergroede,Genemuiden
8281MH,28,,Bergroede,Genemuiden
8281MH,26,,Bergroede,Genemuiden
8281MH,24,,Bergroede,Genemuiden
8281MH,22,,Bergroede,Genemuiden
8281MH,20,,Bergroede,Genemuiden
8281MH,18,,Bergroede,Genemuiden
8281MH,16,,Bergroede,Genemuiden
8281MJ,13,,Bergroede,Genemuiden
8281MJ,11,,Bergroede,Genemuiden
8281MJ,9,,Bergroede,Genemuiden
8281MJ,7,,Bergroede,Genemuiden
8281MJ,5,,Bergroede,Genemuiden
8281MJ,3,,Bergroede,Genemuiden
8281MJ,1,,Bergroede,Genemuiden
8281MH,36,,Bergroede,Genemuiden
8281MH,34,,Bergroede,Genemuiden
8281MJ,23,,Bergroede,Genemuiden
8281MJ,21,,Bergroede,Genemuiden
8281MJ,19,,Bergroede,Genemuiden
8281MJ,17,,Bergroede,Genemuiden
8281MJ,15,,Bergroede,Genemuiden
8281MH,12,,Bergroede,Genemuiden
8281MH,4,,Bergroede,Genemuiden
8281MH,6,,Bergroede,Genemuiden
8281MH,8,,Bergroede,Genemuiden
8281MH,10,,Bergroede,Genemuiden
8064BP,13,,Berkenlaan,Zwartsluis
8064BP,1,,Berkenlaan,Zwartsluis
8064BP,11,,Berkenlaan,Zwartsluis
8064BP,17,,Berkenlaan,Zwartsluis
8064BP,35,,Berkenlaan,Zwartsluis
8064BP,33,,Berkenlaan,Zwartsluis
8064BP,31,,Berkenlaan,Zwartsluis
8064BP,29,,Berkenlaan,Zwartsluis
8064BP,27,,Berkenlaan,Zwartsluis
8064BP,25,,Berkenlaan,Zwartsluis
8064BP,23,,Berkenlaan,Zwartsluis
8064BP,21,,Berkenlaan,Zwartsluis
8064BP,19,,Berkenlaan,Zwartsluis
8064BR,6,,Berkenlaan,Zwartsluis
8064BR,4,,Berkenlaan,Zwartsluis
8064BR,2,,Berkenlaan,Zwartsluis
8064BP,43,,Berkenlaan,Zwartsluis
8064BP,41,,Berkenlaan,Zwartsluis
8064BP,39,,Berkenlaan,Zwartsluis
8064BP,37,,Berkenlaan,Zwartsluis
8064BP,15,,Berkenlaan,Zwartsluis
8064BP,9,,Berkenlaan,Zwartsluis
8064BP,3,,Berkenlaan,Zwartsluis
8064BP,5,,Berkenlaan,Zwartsluis
8064BP,7,,Berkenlaan,Zwartsluis
8281JG,8,,Biezenstraat,Genemuiden
8281JG,3,,Biezenstraat,Genemuiden
8281JG,9,,Biezenstraat,Genemuiden
8281JG,4,,Biezenstraat,Genemuiden
8281JG,14,,Biezenstraat,Genemuiden
8281GC,7,,Blokhuisweg,Genemuiden
8281GC,9,,Blokhuisweg,Genemuiden
8281GC,15,,Blokhuisweg,Genemuiden
8281GC,11,,Blokhuisweg,Genemuiden
8061PD,6,,Boerderijweg,Hasselt
8061PD,1,,Boerderijweg,Hasselt
8061PD,2,,Boerderijweg,Hasselt
8061PD,8,,Boerderijweg,Hasselt
8061PD,4,,Boerderijweg,Hasselt
8061PD,3,,Boerderijweg,Hasselt
8061PD,5,,Boerderijweg,Hasselt
8061PD,7,,Boerderijweg,Hasselt
8061PH,3,,Boerweg,Hasselt
8061PH,8,,Boerweg,Hasselt
8061PH,16,,Boerweg,Hasselt
8061PH,14,,Boerweg,Hasselt
8061PH,12,,Boerweg,Hasselt
8061PH,10,,Boerweg,Hasselt
8061PH,5,,Boerweg,Hasselt
8061PH,7,,Boerweg,Hasselt
8061PH,6,,Boerweg,Hasselt
8061JA,3,,Bolwerk,Hasselt
8061JA,2,,Bolwerk,Hasselt
8061JA,23,,Bolwerk,Hasselt
8061JA,1,,Bolwerk,Hasselt
8061JA,11,,Bolwerk,Hasselt
8061JA,5,,Bolwerk,Hasselt
8061JA,17,,Bolwerk,Hasselt
8061JA,21,,Bolwerk,Hasselt
8061JA,19,,Bolwerk,Hasselt
8061GM,1,,Brouwersgracht,Hasselt
8061GM,13,,Brouwersgracht,Hasselt
8061GM,2,,Brouwersgracht,Hasselt
8061GM,6,,Brouwersgracht,Hasselt
8061GN,25,,Brouwersgracht,Hasselt
8061GN,23,,Brouwersgracht,Hasselt
8061GN,21,,Brouwersgracht,Hasselt
8061GN,19,,Brouwersgracht,Hasselt
8061GN,17,,Brouwersgracht,Hasselt
8061GM,14,,Brouwersgracht,Hasselt
8061GM,12,,Brouwersgracht,Hasselt
8061GM,10,,Brouwersgracht,Hasselt
8061GM,8,,Brouwersgracht,Hasselt
8061GN,24,,Brouwersgracht,Hasselt
8061GN,22,,Brouwersgracht,Hasselt
8061GN,20,,Brouwersgracht,Hasselt
8061GN,18,,Brouwersgracht,Hasselt
8061GN,16,,Brouwersgracht,Hasselt
8061GM,4,,Brouwersgracht,Hasselt
8061GM,15,,Brouwersgracht,Hasselt
8061GM,11,,Brouwersgracht,Hasselt
8061GM,5,,Brouwersgracht,Hasselt
8061GM,7,,Brouwersgracht,Hasselt
8061GM,9,,Brouwersgracht,Hasselt
8061HR,42,,Buiten de Enkpoort,Hasselt
8061HR,11,,Buiten de Enkpoort,Hasselt
8061HR,15,,Buiten de Enkpoort,Hasselt
8061HR,2,,Buiten de Enkpoort,Hasselt
8061HR,52,,Buiten de Enkpoort,Hasselt
8061HR,18,,Buiten de Enkpoort,Hasselt
8061HR,16,,Buiten de Enkpoort,Hasselt
8061HR,14,,Buiten de Enkpoort,Hasselt
8061HR,12,,Buiten de Enkpoort,Hasselt
8061HR,10,,Buiten de Enkpoort,Hasselt
8061HR,8,,Buiten de Enkpoort,Hasselt
8061HR,6,,Buiten de Enkpoort,Hasselt
8061HR,50,,Buiten de Enkpoort,Hasselt
8061HR,54,,Buiten de Enkpoort,Hasselt
8061HR,40,,Buiten de Enkpoort,Hasselt
8061HR,38,,Buiten de Enkpoort,Hasselt
8061HR,36,,Buiten de Enkpoort,Hasselt
8061HR,34,,Buiten de Enkpoort,Hasselt
8061HR,32,,Buiten de Enkpoort,Hasselt
8061HR,30,,Buiten de Enkpoort,Hasselt
8061HR,28,,Buiten de Enkpoort,Hasselt
8061HR,26,,Buiten de Enkpoort,Hasselt
8061HR,24,,Buiten de Enkpoort,Hasselt
8061HR,22,,Buiten de Enkpoort,Hasselt
8061HR,20,,Buiten de Enkpoort,Hasselt
8061HR,4,,Buiten de Enkpoort,Hasselt
8061HR,17,,Buiten de Enkpoort,Hasselt
8061HR,13,,Buiten de Enkpoort,Hasselt
8061HR,9,,Buiten de Enkpoort,Hasselt
8061HR,44,,Buiten de Enkpoort,Hasselt
8061HR,46,,Buiten de Enkpoort,Hasselt
8061HR,5,,Buiten de Enkpoort,Hasselt
8061HR,7,,Buiten de Enkpoort,Hasselt
8061KM,1,,Buiten de Venepoort,Hasselt
8061KM,2,,Buiten de Venepoort,Hasselt
8061KM,3,,Buiten de Venepoort,Hasselt
8061KM,7,,Buiten de Venepoort,Hasselt
8061KM,5,,Buiten de Venepoort,Hasselt
8061KM,9,,Buiten de Venepoort,Hasselt
8061KM,11,,Buiten de Venepoort,Hasselt
8281BL,2,,Buitenhaven,Genemuiden
8281BL,1,,Buitenhaven,Genemuiden
8281BL,3,,Buitenhaven,Genemuiden
8064AG,54,,Buitenkwartier,Zwartsluis
8064AG,64,,Buitenkwartier,Zwartsluis
8064AG,58,,Buitenkwartier,Zwartsluis
8064AG,60,,Buitenkwartier,Zwartsluis
8064AC,46,,Buitenkwartier,Zwartsluis
8064AE,46,,Buitenkwartier,Zwartsluis
8064AE,42,,Buitenkwartier,Zwartsluis
8064AE,26,,Buitenkwartier,Zwartsluis
8064AE,24,,Buitenkwartier,Zwartsluis
8064AE,22,,Buitenkwartier,Zwartsluis
8064AE,20,,Buitenkwartier,Zwartsluis
8064AE,18,,Buitenkwartier,Zwartsluis
8064AE,16,,Buitenkwartier,Zwartsluis
8064AE,14,,Buitenkwartier,Zwartsluis
8064AE,10,,Buitenkwartier,Zwartsluis
8064AE,8,,Buitenkwartier,Zwartsluis
8064AE,6,,Buitenkwartier,Zwartsluis
8064AE,4,,Buitenkwartier,Zwartsluis
8064AE,2,,Buitenkwartier,Zwartsluis
8064AC,35,,Buitenkwartier,Zwartsluis
8064AG,62,,Buitenkwartier,Zwartsluis
